mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
325	323	3/4	3/4	4/4	2	1	V6/vi		D	I		V6/vi		V		6		vi				M	0	0	8, 5, 4		4	8
326	324	0	0	4/4	2	1	vi		D	I		vi		vi								m	0	0	3, 0, 4		3	3
326	324	3/4	3/4	4/4	2	1	ii6		D	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
327	325	3/4	3/4	4/4	2	1	V7		D	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
329	327	0	0	4/4	2	1	I|PAC}		D	I		I		I						PAC	}	M	0	0	0, 4, 1		0	0
329	327	3/4	3/4	4/4	2	1	I[I{		D	I	I	I		I							{	M	0	0	0, 4, 1		0	0
330	328	0	0	4/4	2	1	V2		D	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
331	329	0	0	4/4	2	1	I		D	I		I		I								M	0	0	0, 4, 1		0	0
332	330	0	0	4/4	2	1	V2		D	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
333	331	0	0	4/4	2	1	I		D	I		I		I								M	0	0	0, 4, 1		0	0
334	332	0	0	4/4	2	1	V2		D	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
335	333	0	0	4/4	2	1	I]|PAC}{		D	I		I		I					]	PAC	}{	M	0	0	0, 4, 1		0	0
335	333	1/2	1/2	4/4	2	1	vi		D	I		vi		vi								m	0	0	3, 0, 4		3	3
336	334	0	0	4/4	2	1	I64		D	I		I64		I		64						M	0	0	1, 0, 4		0	1
336	334	1/2	1/2	4/4	2	1	ii65		D	I		ii65		ii		65						mm7	0	0	-1, 3, 0, 2		2	-1
337	335	0	0	4/4	2	1	I6		D	I		I6		I		6						M	0	0	4, 1, 0		0	4
337	335	1/2	1/2	4/4	2	1	IVM7		D	I		IVM7		IV	M	7						MM7	0	0	-1, 3, 0, 4		-1	-1
338	336	0	0	4/4	2	1	I6		D	I		I6		I		6						M	0	0	4, 1, 0		0	4
338	336	1/2	1/2	4/4	2	1	ii7		D	I		ii7		ii		7						mm7	0	0	2, -1, 3, 0		2	2
339	337	0	0	4/4	2	1	I		D	I		I		I								M	0	0	0, 4, 1		0	0
339	337	1/2	1/2	4/4	2	1	vi		D	I		vi		vi								m	0	0	3, 0, 4		3	3
340	338	0	0	4/4	2	1	I64		D	I		I64		I		64						M	0	0	1, 0, 4		0	1
340	338	1/2	1/2	4/4	2	1	ii65		D	I		ii65		ii		65						mm7	0	0	-1, 3, 0, 2		2	-1
341	339	0	0	4/4	2	1	I6		D	I		I6		I		6						M	0	0	4, 1, 0		0	4
341	339	1/2	1/2	4/4	2	1	IVM7		D	I		IVM7		IV	M	7						MM7	0	0	-1, 3, 0, 4		-1	-1
342	340	0	0	4/4	2	1	I6		D	I		I6		I		6						M	0	0	4, 1, 0		0	4
342	340	1/2	1/2	4/4	2	1	ii7		D	I		ii7		ii		7						mm7	0	0	2, -1, 3, 0		2	2
343	341	0	0	4/4	2	1	I|PC}		D	I		I		I						PC	}	M	0	0	0, 4, 1		0	0
