mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
93	93	0	vi6	E	I	I	vi6	vi		6				m	0	0	0, 4, 3		3	0
93	93	1/4	I	E	I	I	I	I						M	0	0	0, 4, 1		0	0
94	94	0	viio7	E	I	I	viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
94	94	1/4	V65	E	I	I	V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
95	95	0	vi6	E	I	I	vi6	vi		6				m	0	0	0, 4, 3		3	0
95	95	1/4	I	E	I	I	I	I						M	0	0	0, 4, 1		0	0
96	96	0	V65	E	I	I	V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
96	96	1/4	I	E	I	I	I	I						M	0	0	0, 4, 1		0	0
97	97	0	vi6	E	I	I	vi6	vi		6				m	0	0	0, 4, 3		3	0
97	97	1/4	I	E	I	I	I	I						M	0	0	0, 4, 1		0	0
98	98	0	V65	E	I	I	V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
98	98	1/4	I	E	I	I	I	I						M	0	0	0, 4, 1		0	0
99	99	0	vi6	E	I	I	vi6	vi		6				m	0	0	0, 4, 3		3	0
99	99	1/4	I]	E	I	I	I	I						M	0	0	0, 4, 1		0	0
100	100	0	vi64	E	I		vi64	vi		64				m	0	0	4, 3, 0		3	4
100	100	1/4	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
101	101	1/4	I\\	E	I		I	I					\\	M	0	0	0, 4, 1		0	0
