mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
49	49	0	0	3/4	1	1	V(64)	e	i		V(64)		V			64			M	1	1	1, 0, -3		1	1
50	50	0	0	3/4	1	1	V	e	i		V		V						M	1	1	1, 5, 2		1	1
51	51	0	0	3/4	1	1	i[i}{	e	i	i	i		i					}{	m	1	1	0, -3, 1		0	0
51	51	1/2	1/2	3/4	1	1	I	e	i	i	I		I						M	1	1	0, 4, 1		0	0
52	52	0	0	3/4	1	1	#viio2	e	i	i	#viio2		#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
53	53	0	0	3/4	1	1	I	e	i	i	I		I						M	1	1	0, 4, 1		0	0
54	54	0	0	3/4	1	1	#viio2	e	i	i	#viio2		#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
55	55	0	0	3/4	1	1	I	e	i	i	I		I						M	1	1	0, 4, 1		0	0
56	56	0	0	3/4	1	1	#viio2	e	i	i	#viio2		#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
57	57	0	0	3/4	1	1	I	e	i	i	I		I						M	1	1	0, 4, 1		0	0
57	57	1/4	1/4	3/4	1	1	#viio2	e	i	i	#viio2		#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
58	58	0	0	3/4	1	1	I	e	i	i	I		I						M	1	1	0, 4, 1		0	0
58	58	1/4	1/4	3/4	1	1	#viio2	e	i	i	#viio2		#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
59	59	0	0	3/4	1	1	I]}	e	i	i	I		I					}	M	1	1	0, 4, 1		0	0
63	63	0	0	3/4	1	1	VI.I[I	e	VI	I	I		I						M	1	0	0, 4, 1		0	0
64	64	0	0	3/4	1	1	viio	e	VI	I	viio		vii	o					o	1	0	5, 2, -1		5	5
64	64	1/2	1/2	3/4	1	1	viio6	e	VI	I	viio6		vii	o	6				o	1	0	2, -1, 5		5	2
65	65	0	0	3/4	1	1	I]	e	VI	I	I		I						M	1	0	0, 4, 1		0	0
66	66	0	0	3/4	1	1	V	e	VI		V		V						M	1	0	1, 5, 2		1	1
66	66	1/4	1/4	3/4	1	1	viio6/V	e	VI		viio6/V		vii	o	6		V		o	1	0	3, 0, 6		6	3
66	66	1/2	1/2	3/4	1	1	viio	e	VI		viio		vii	o					o	1	0	5, 2, -1		5	5
67	67	0	0	3/4	1	1	I[I	e	VI	I	I		I						M	1	0	0, 4, 1		0	0
68	68	0	0	3/4	1	1	viio	e	VI	I	viio		vii	o					o	1	0	5, 2, -1		5	5
68	68	1/2	1/2	3/4	1	1	viio6	e	VI	I	viio6		vii	o	6				o	1	0	2, -1, 5		5	2
69	69	0	0	3/4	1	1	I]}	e	VI	I	I		I					}	M	1	0	0, 4, 1		0	0
71	71	0	0	3/4	1	1	{	e	VI									{		1	0				
71	71	1/2	1/2	3/4	1	1	V6	e	VI		V6		V		6				M	1	0	5, 2, 1		1	5
72	72	0	0	3/4	1	1	viio6(2)/V	e	VI		viio6(2)/V		vii	o	6	2	V		o	1	0	3, 0, 1		6	3
72	72	1/4	1/4	3/4	1	1	viio6/V	e	VI		viio6/V		vii	o	6		V		o	1	0	3, 0, 6		6	3
72	72	1/2	1/2	3/4	1	1	V	e	VI		V		V						M	1	0	1, 5, 2		1	1
73	73	0	0	3/4	1	1	viio/V	e	VI		viio/V		vii	o			V		o	1	0	6, 3, 0		6	6
73	73	1/2	1/2	3/4	1	1	IV6/V	e	VI		IV6/V		IV		6		V		M	1	0	4, 1, 0		0	4
74	74	0	0	3/4	1	1	V6(2)/vi/V	e	VI		V6(2)/vi/V		V		6	2	vi/V		M	1	0	9, 6, 0		5	9
74	74	1/4	1/4	3/4	1	1	V6/vi/V	e	VI		V6/vi/V		V		6		vi/V		M	1	0	9, 6, 5		5	9
74	74	1/2	1/2	3/4	1	1	vi/V	e	VI		vi/V		vi				V		m	1	0	4, 1, 5		4	4
75	75	0	0	3/4	1	1	ii6(2)/V	e	VI		ii6(2)/V		ii		6	2	V		m	1	0	0, 4, 5		3	0
75	75	1/2	1/2	3/4	1	1	ii6/V	e	VI		ii6/V		ii		6		V		m	1	0	0, 4, 3		3	0
76	76	0	0	3/4	1	1	V7/V	e	VI		V7/V		V		7		V		Mm7	1	0	2, 6, 3, 0		2	2
77	77	0	0	3/4	1	1	I/V}	e	VI		I/V		I				V	}	M	1	0	1, 5, 2		1	1
79	79	0	0	3/4	1	1	V[V65/ii{	e	VI	V	V65/ii		V		65		ii	{	Mm7	1	0	7, 4, 1, 3		3	7
80	80	0	0	3/4	1	1	ii	e	VI	V	ii		ii						m	1	0	2, -1, 3		2	2
81	81	0	0	3/4	1	1	V65	e	VI	V	V65		V		65				Mm7	1	0	5, 2, -1, 1		1	5
82	82	0	0	3/4	1	1	I	e	VI	V	I		I						M	1	0	0, 4, 1		0	0
83	83	0	0	3/4	1	1	V65/ii	e	VI	V	V65/ii		V		65		ii		Mm7	1	0	7, 4, 1, 3		3	7
84	84	0	0	3/4	1	1	ii	e	VI	V	ii		ii						m	1	0	2, -1, 3		2	2
85	85	0	0	3/4	1	1	V65	e	VI	V	V65		V		65				Mm7	1	0	5, 2, -1, 1		1	5
86	86	0	0	3/4	1	1	I	e	VI	V	I		I						M	1	0	0, 4, 1		0	0
87	87	0	0	3/4	1	1	V7]}	e	VI	V	V7		V		7			}	Mm7	1	0	1, 5, 2, -1		1	1
89	89	0	0	3/4	1	1	I[I{	e	VI	I	I		I					{	M	1	0	0, 4, 1		0	0
90	90	0	0	3/4	1	1	viio	e	VI	I	viio		vii	o					o	1	0	5, 2, -1		5	5
90	90	1/2	1/2	3/4	1	1	viio6	e	VI	I	viio6		vii	o	6				o	1	0	2, -1, 5		5	2
91	91	0	0	3/4	1	1	I	e	VI	I	I		I						M	1	0	0, 4, 1		0	0
94	94	0	0	3/4	1	1	viio	e	VI	I	viio		vii	o					o	1	0	5, 2, -1		5	5
94	94	1/2	1/2	3/4	1	1	viio6	e	VI	I	viio6		vii	o	6				o	1	0	2, -1, 5		5	2
95	95	0	0	3/4	1	1	I]}	e	VI	I	I		I					}	M	1	0	0, 4, 1		0	0
98	98	0	0	3/4	1	1	i.iv6	e	i		iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
99	99	0	0	3/4	1	1	V(64)	e	i		V(64)		V			64			M	1	1	1, 0, -3		1	1
100	100	0	0	3/4	1	1	V	e	i		V		V						M	1	1	1, 5, 2		1	1
101	101	0	0	3/4	1	1	i{	e	i		i		i					{	m	1	1	0, -3, 1		0	0
102	102	0	0	3/4	1	1	VI	e	i		VI		VI						M	1	1	-4, 0, -3		-4	-4
103	103	0	0	3/4	1	1	viio7/V	e	i		viio7/V		vii	o	7		V		o7	1	1	6, 3, 0, -3		6	6
104	104	0	0	3/4	1	1	iio6(2)	e	i		iio6(2)		ii	o	6	2			o	1	1	-1, -4, -3		2	-1
104	104	1/4	1/4	3/4	1	1	iio6	e	i		iio6		ii	o	6				o	1	1	-1, -4, 2		2	-1
104	104	1/2	1/2	3/4	1	1	#viio43	e	i		#viio43		#vii	o	43				o7	1	1	-1, -4, 5, 2		5	-1
105	105	0	0	3/4	1	1	i6	e	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
105	105	1/4	1/4	3/4	1	1	V64	e	i		V64		V		64				M	1	1	2, 1, 5		1	2
105	105	1/2	1/2	3/4	1	1	i	e	i		i		i						m	1	1	0, -3, 1		0	0
106	106	0	0	3/4	1	1	V6	e	i		V6		V		6				M	1	1	5, 2, 1		1	5
