mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
130	126	1/2	1/2	4/4	2	1	i						d	i		i		i							m	1	1	2, -1, 3		2	2	0	6	0.0	0.0	0.75	0.0
130	126	3/4	3/4	4/4	2	1	viio6(2)/V	-0.284575	-3.16622	/			d	i		viio6(2)/V		vii	o	6	2	V			o	1	1	5, 2, 3		8	5	0	6	0.0	0.0	0.75	0.0
131	127	0	0	4/4	2	1	V6						d	i		V6		V		6					M	1	1	7, 4, 3		3	7	0	12	0.0	0.0	1.5	0.0
131	127	1/2	1/2	4/4	2	1	i						d	i		i		i							m	1	1	2, -1, 3		2	2	0	6	0.0	0.0	0.75	0.0
131	127	3/4	3/4	4/4	2	1	viio6(2)/V						d	i		viio6(2)/V		vii	o	6	2	V			o	1	1	5, 2, 3		8	5	0	6	0.0	0.0	0.75	0.0
132	128	0	0	4/4	2	1	V6						d	i		V6		V		6					M	1	1	7, 4, 3		3	7	0	12	0.0	0.0	1.5	0.0
132	128	1/2	1/2	4/4	2	1	i						d	i		i		i							m	1	1	2, -1, 3		2	2	0	6	0.0	0.0	0.75	0.0
132	128	3/4	3/4	4/4	2	1	viio6(2)/V	-0.142287	-3.3085	/			d	i		viio6(2)/V		vii	o	6	2	V			o	1	1	5, 2, 3		8	5	0	6	0.0	0.0	0.75	0.0
133	129	0	0	4/4	2	1	V[V						d	i	V	V		V							M	1	1	3, 7, 4		3	3	8	20	0.2857142857142857	1.0	2.5	0.2857142857142857
134	130	1/2	1/2	4/4	2	1	V(64)						d	i	V	V(64)		V			64				M	1	1	3, 2, -1		3	3	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
134	130	3/4	3/4	4/4	2	1	V(#964)						d	i	V	V(#964)		V			#964				M	1	1	3, 2, -1	5	3	3	0	6	0.0	0.0	0.75	0.0
135	131	0	0	4/4	2	1	V						d	i	V	V		V							M	1	1	3, 7, 4		3	3	0	12	0.0	0.0	1.5	0.0
135	131	1/2	1/2	4/4	2	1	V(64)						d	i	V	V(64)		V			64				M	1	1	3, 2, -1		3	3	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
