mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
153	151	1/2	1/2	4/4	2	1	viio6(+2)	0	-4.07878		/		E	I		viio6(+2)		vii	o	6	+2				o	0	0	6, 3, 9	4	9	6	0	14	0.0	0.0	2.5	0.0
154	152	0	0	4/4	2	1	I	0	-4.07878		/		E	I		I		I							M	0	0	4, 8, 5		4	4	0	11	0.0	0.0	2.125	0.0
154	152	1/2	1/2	4/4	2	1	viio6(b3+2)	0	-3.76303		/		E	I		viio6(b3+2)		vii	o	6	b3+2				o	0	0	-1, 3, 9	4	9	-1	0	14	0.0	0.0	2.5	0.0
155	153	0	0	4/4	2	1	I	0	-3.82618		/		E	I		I		I							M	0	0	4, 8, 5		4	4	0	11	0.0	0.0	2.125	0.0
155	153	1/2	1/2	4/4	2	1	viio6(+2)	0	-3.63672		/		E	I		viio6(+2)		vii	o	6	+2				o	0	0	6, 3, 9	4	9	6	0	14	0.0	0.0	2.5	0.0
156	154	0	0	4/4	2	1	I[I|IAC}{						E	I	I	I		I					IAC	}{	M	0	0	4, 8, 5		4	4	0	10	0.0	0.0	1.625	0.0
156	154	1/2	1/2	4/4	2	1	V65	0	-3.06936		/		E	I	I	V65		V		65					Mm7	0	0	9, 6, 3, 5		5	9	3	10	0.23076923076923078	0.375	1.625	0.1875
157	155	0	0	4/4	2	1	I	0	-3.40148		/		E	I	I	I		I							M	0	0	4, 8, 5		4	4	0	13	0.0	0.0	2.0	0.0
157	155	1/2	1/2	4/4	2	1	V2	0	-3.30659		/		E	I	I	V2		V		2					Mm7	0	0	3, 5, 9, 6		5	3	3	13	0.1875	0.375	2.0	0.15789473684210525
158	156	0	0	4/4	2	1	I	0	-3.1252		/		E	I	I	I		I							M	0	0	4, 8, 5		4	4	0	16	0.0	0.0	2.375	0.0
158	156	1/2	1/2	4/4	2	1	V65	0	-5.98722		/		E	I	I	V65		V		65					Mm7	0	0	9, 6, 3, 5		5	9	3	10	0.23076923076923078	0.375	1.625	0.1875
159	157	0	0	4/4	2	1	I	0	-6.29572		/		E	I	I	I		I							M	0	0	4, 8, 5		4	4	0	13	0.0	0.0	2.0	0.0
159	157	1/2	1/2	4/4	2	1	V2	0	-5.91615		/		E	I	I	V2		V		2					Mm7	0	0	3, 5, 9, 6		5	3	3	13	0.1875	0.375	2.0	0.15789473684210525
160	158	0	0	4/4	2	1	I	0	-6.24827		/		E	I	I	I		I							M	0	0	4, 8, 5		4	4	0	16	0.0	0.0	2.375	0.0
160	158	1/2	1/2	4/4	2	1	V2	0	-7.62422		/		E	I	I	V2		V		2					Mm7	0	0	3, 5, 9, 6		5	3	3	13	0.1875	0.375	2.0	0.15789473684210525
161	159	0	0	4/4	2	1	I	0	-7.57678		/		E	I	I	I		I							M	0	0	4, 8, 5		4	4	0	16	0.0	0.0	2.375	0.0
161	159	1/2	1/2	4/4	2	1	V2	0	-5.82126		/		E	I	I	V2		V		2					Mm7	0	0	3, 5, 9, 6		5	3	3	13	0.1875	0.375	2.0	0.15789473684210525
162	160	0	0	4/4	2	1	I]|IAC}	0	-5.94462		/		E	I	I	I		I					IAC	}	M	0	0	4, 8, 5		4	4	0	52	0.0	0.0	8.5	0.0
