mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	articulation	slur
48	48	191	191	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	556		articStaccatoBelow	
48	48	188	188	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	557			
48	48	189	189	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	558			
48	48	190	190	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	559			
48	48	191	191	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	560			
49	49	192	192	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	561			
49	49	193	193	0.3333333333333333	1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	562			
49	49	580/3	580/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	563			
49	49	581/3	581/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	564			
49	49	194	194	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	565			
49	49	195	195	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	566			
49	49	586/3	586/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	567			
49	49	587/3	587/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	568			
49	49	192	192	0.3333333333333333	0	0	Chord	2/2	2	1	1/12		1/8	2/3	569			
49	49	577/3	577/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	570			
49	49	578/3	578/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	571			
49	49	193	193	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	572			
49	49	580/3	580/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	573			
49	49	581/3	581/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	574			
49	49	194	194	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	575			
49	49	583/3	583/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	576			
49	49	584/3	584/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	577			
49	49	195	195	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	578			
49	49	586/3	586/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	579			
49	49	587/3	587/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	580			
50	50	196	196	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	581			
50	50	197	197	0.3333333333333333	1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	582			
50	50	592/3	592/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	583			
50	50	593/3	593/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	584			
50	50	198	198	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	585			
50	50	199	199	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	586			
50	50	598/3	598/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	587			
50	50	599/3	599/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	588			
50	50	196	196	0.3333333333333333	0	0	Chord	2/2	2	1	1/12		1/8	2/3	589			
50	50	589/3	589/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	590			
50	50	590/3	590/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	591			
50	50	197	197	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	592			
50	50	592/3	592/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	593			
50	50	593/3	593/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	594			
50	50	198	198	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	595			
50	50	595/3	595/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	596			
50	50	596/3	596/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	597			
50	50	199	199	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	598			
50	50	598/3	598/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	599			
50	50	599/3	599/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	600			
51	51	200	200	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	601			
51	51	201	201	0.3333333333333333	1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	602			
51	51	604/3	604/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	603			
51	51	605/3	605/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	604			
51	51	202	202	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	605			
51	51	203	203	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	606			
51	51	610/3	610/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	607			
51	51	611/3	611/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	608			
51	51	200	200	0.3333333333333333	0	0	Chord	2/2	2	1	1/12		1/8	2/3	609			
51	51	601/3	601/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	610			
51	51	602/3	602/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	611			
51	51	201	201	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	612			
51	51	604/3	604/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	613			
51	51	605/3	605/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	614			
51	51	202	202	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	615			
51	51	607/3	607/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	616			
51	51	608/3	608/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	617			
51	51	203	203	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	618			
51	51	610/3	610/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	619			
51	51	611/3	611/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	620			
52	52	204	204	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	621			
52	52	205	205	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	622			
52	52	206	206	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	623			
52	52	204	204	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	624			
52	52	205	205	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	625			
52	52	206	206	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	626			
53	53	208	208	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	627	f		
53	53	210	210	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	628			
53	53	631/3	631/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	629	p		
53	53	632/3	632/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	630			
53	53	211	211	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	631			
53	53	634/3	634/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	632			
53	53	635/3	635/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	633			
53	53	208	208	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	634			
54	54	212	212	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	635			
54	54	213	213	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	636			
54	54	214	214	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	637			
54	54	215	215	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	638			
54	54	425/2	425/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	639			
54	54	213	213	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	640			
54	54	427/2	427/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	641			
54	54	214	214	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	642			
54	54	429/2	429/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	643			
54	54	215	215	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	644			
54	54	431/2	431/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	645			
55	55	216	216	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	646			
55	55	217	217	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	647			
55	55	218	218	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	648			
55	55	219	219	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	649			
55	55	216	216	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	650			
55	55	433/2	433/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	651			
55	55	217	217	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	652			
55	55	435/2	435/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	653			
55	55	218	218	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	654			
55	55	437/2	437/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	655			
55	55	219	219	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	656			
55	55	439/2	439/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	657			
56	56	220	220	0.0	0	0	Chord	2/2	1	1	0	grace16	1/16	1	658			
56	56	220	220	0.0	0	0	Chord	2/2	1	1	0	grace16	1/16	1	659			
56	56	220	220	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	660	f		
56	56	222	222	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	661			
56	56	667/3	667/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	662	p		
56	56	668/3	668/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	663			
56	56	223	223	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	664			
56	56	670/3	670/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	665			
56	56	671/3	671/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	666			
56	56	220	220	0.3333333333333333	0	0	Chord	2/2	2	1	1/12		1/8	2/3	667			
56	56	661/3	661/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	668			
56	56	662/3	662/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	669			
56	56	221	221	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	670			
56	56	664/3	664/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	671			
56	56	665/3	665/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	672			
56	56	222	222	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	673			
57	57	224	224	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	674			
57	57	225	225	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	675			
57	57	226	226	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	676			
57	57	227	227	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	677			
57	57	449/2	449/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	678			
57	57	225	225	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	679			
57	57	451/2	451/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	680			
57	57	226	226	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	681			
57	57	453/2	453/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	682			
57	57	227	227	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	683			
57	57	455/2	455/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	684			
58	58	228	228	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	685			
58	58	459/2	459/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16		1/16	1	686			
58	58	919/4	919/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16		1/16	1	687			
58	58	230	230	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	688			
58	58	461/2	461/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	689			
58	58	231	231	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	690			
58	58	463/2	463/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	691			
58	58	228	228	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	692			
58	58	457/2	457/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	693			
58	58	229	229	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	694			
58	58	459/2	459/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	695			
58	58	230	230	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	696			
58	58	461/2	461/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	697			
58	58	231	231	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	698			
58	58	463/2	463/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	699			
59	59	232	232	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	700			
59	59	467/2	467/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	701			
59	59	234	234	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	702			
59	59	471/2	471/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	703			
59	59	232	232	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	704			
59	59	465/2	465/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	705			
59	59	233	233	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	706			
59	59	467/2	467/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	707			
59	59	234	234	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	708			
59	59	469/2	469/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	709			
59	59	235	235	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	710			
59	59	471/2	471/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	711			
60	60	236	236	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	712			
60	60	475/2	475/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	713			
60	60	238	238	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	714			
60	60	239	239	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	715			
60	60	236	236	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	716			
60	60	473/2	473/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	717			
60	60	237	237	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	718			
60	60	475/2	475/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	719			
60	60	238	238	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	720			
60	60	477/2	477/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	721			
60	60	239	239	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	722			
60	60	479/2	479/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	723			
61	61	240	240	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	724			
61	61	483/2	483/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	725			
61	61	242	242	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	726			
61	61	487/2	487/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	727			
61	61	240	240	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	728			
61	61	481/2	481/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	729			
61	61	241	241	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	730			
61	61	483/2	483/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	731			
61	61	242	242	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	732			
61	61	485/2	485/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	733			
61	61	243	243	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	734			
61	61	487/2	487/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	735			
62	62	244	244	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	736			
62	62	491/2	491/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	737			
62	62	246	246	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	738			
62	62	247	247	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	739			
62	62	244	244	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	740			
62	62	489/2	489/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	741			
62	62	245	245	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	742			
62	62	491/2	491/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	743			
62	62	246	246	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	744			
62	62	493/2	493/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	745			
62	62	247	247	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	746			
62	62	495/2	495/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	747			
63	63	248	248	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	748			
63	63	248	248	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	749			37
63	63	497/2	497/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	750			37
63	63	249	249	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	751			37
63	63	499/2	499/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	752			37
63	63	250	250	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	753			37
63	63	501/2	501/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	754			37
63	63	251	251	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	755			37
63	63	503/2	503/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	756			
64	64	252	252	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	757			
64	64	252	252	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	758			38
64	64	505/2	505/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	759			38
64	64	253	253	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	760			38
64	64	507/2	507/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	761			38
64	64	254	254	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	762			38
64	64	509/2	509/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	763			38
64	64	255	255	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	764			38
64	64	511/2	511/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	765			
65	65	256	256	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	766			39
65	65	513/2	513/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	767			39
65	65	257	257	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	768			39
65	65	515/2	515/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	769			39
65	65	258	258	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	770			39
65	65	517/2	517/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	771			39
65	65	259	259	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	772			39
65	65	519/2	519/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	773			
65	65	256	256	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	774			40
65	65	513/2	513/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	775			40
65	65	257	257	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	776			40
65	65	515/2	515/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	777			40
65	65	258	258	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	778			40
65	65	517/2	517/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	779			40
65	65	259	259	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	780			40
65	65	519/2	519/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	781			
66	66	260	260	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	782			41
66	66	521/2	521/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	783			41
66	66	261	261	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	784			41
66	66	523/2	523/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	785			41
66	66	262	262	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	786			41
66	66	525/2	525/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	787			41
66	66	263	263	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	788			41
66	66	527/2	527/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	789			
66	66	262	262	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	790			
66	66	260	260	4.0	0	0	Chord	2/2	2	2	1		1	1	791			
67	67	264	264	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	792	f		
67	67	266	266	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	793			
67	67	799/3	799/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	794			
67	67	800/3	800/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	795			
67	67	267	267	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	796			
67	67	802/3	802/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	797			
67	67	803/3	803/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	798			
67	67	264	264	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	799			
68	68	268	268	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	800			
68	68	269	269	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	801	p		42
68	68	270	270	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	802			42
68	68	271	271	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	803			
68	68	269	269	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	804			43
68	68	270	270	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	805			43
68	68	271	271	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	806			
69	69	272	272	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	807			
69	69	547/2	547/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	808			
69	69	274	274	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	809			
69	69	551/2	551/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	810			
69	69	272	272	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	811			
69	69	273	273	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	812			
69	69	274	274	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	813			
69	69	275	275	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	814			
70	70	276	276	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	815			
70	70	277	277	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	816		ornamentTrill	
70	70	278	278	0.0	1/2	1/2	Chord	2/2	1	1	0	grace16	1/16	1	817			
70	70	278	278	0.0	1/2	1/2	Chord	2/2	1	1	0	grace16	1/16	1	818			
70	70	278	278	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	819			
70	70	276	276	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	820			
70	70	277	277	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	821			
70	70	278	278	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	822			
70	70	557/2	557/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	823			
70	70	279	279	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	824			
70	70	559/2	559/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	825			
71	71	280	280	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	826	f		
71	71	282	282	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	827			
71	71	847/3	847/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	828			
71	71	848/3	848/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	829			
71	71	283	283	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	830			
71	71	850/3	850/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	831			
71	71	851/3	851/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	832			
71	71	280	280	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	833			
72	72	284	284	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	834			
72	72	285	285	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	835	p		44
72	72	286	286	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	836			44
72	72	287	287	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	837			
72	72	569/2	569/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	838			
72	72	285	285	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	839			
72	72	571/2	571/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	840			
72	72	286	286	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	841			
72	72	573/2	573/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	842			
