mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_line
19	17	257/4	257/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	141		articStaccatoBelow						
19	17	261/4	261/4	0.0		1/4	1/4	Dynamic	4/4	1	1	0					sf							
19	17	261/4	261/4	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	142		articStaccatoBelow						
19	17	265/4	265/4	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	143		articStaccatoBelow						
19	17	269/4	269/4	0.0		3/4	3/4	Dynamic	4/4	1	1	0					sf							
19	17	269/4	269/4	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	144		articStaccatoBelow						
19	17	257/4	257/4	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	145		articStaccatoBelow						
19	17	261/4	261/4	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	146		articStaccatoBelow						
19	17	265/4	265/4	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	147		articStaccatoBelow						
19	17	269/4	269/4	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	148		articStaccatoBelow						
19	17	257/4	257/4	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	149		articStaccatoAbove						
19	17	261/4	261/4	0.5		1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	150		articStaccatoAbove						
19	17	265/4	265/4	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	151		articStaccatoAbove						
19	17	269/4	269/4	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	152		articStaccatoAbove						
20	18	273/4	273/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	153		articStaccatoAbove						
20	18	277/4	277/4	0.0		1/4	1/4	Dynamic	4/4	1	1	0					sf							
20	18	277/4	277/4	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	154		articStaccatoAbove						
20	18	281/4	281/4	0.0		1/2	1/2	Dynamic	4/4	1	1	0					sf							
20	18	281/4	281/4	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	155						8		
20	18	273/4	273/4	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	156		articStaccatoAbove						
20	18	277/4	277/4	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	157		articStaccatoAbove						
20	18	281/4	281/4	2.0		1/2	1/2	Chord	4/4	1	3	1/2		1/2	1	158								
