mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	Trill:trill	crescendo_hairpin	crescendo_line
80	77	230	230	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	538							
80	77	231	231	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	539							
81	78	232	232	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	540							
81	78	697/3	697/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	541							
81	78	698/3	698/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	542							
81	78	233	233	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	543							
81	78	700/3	700/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	544							
81	78	701/3	701/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	545							
81	78	234	234	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	546							
81	78	703/3	703/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	547							
81	78	704/3	704/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	548							
81	78	232	232	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	549							
81	78	234	234	0.0	1/2	1/2	Dynamic	3/4	2	2	0						f					
81	78	234	234	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	550				47			
82	79	237	237	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	551				48			
82	79	712/3	712/3	0.0	7/12	7/12	Dynamic	3/4	1	1	0						f		48			
82	79	235	235	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	552							
82	79	706/3	706/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	553							
82	79	707/3	707/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	554							
82	79	236	236	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	555							
82	79	709/3	709/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	556							
82	79	710/3	710/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	557							
82	79	237	237	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	558							
82	79	712/3	712/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	559							
82	79	713/3	713/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	560							
82	79	235	235	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	561							
83	80	238	238	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	562							
83	80	238	238	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	563							
83	80	715/3	715/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	564							
83	80	716/3	716/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	565							
83	80	239	239	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	566							
83	80	718/3	718/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	567							
83	80	719/3	719/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	568							
83	80	240	240	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	569							
83	80	721/3	721/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	570							
83	80	722/3	722/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	571							
83	80	240	240	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	572				49			
84	81	243	243	0.0	1/2	1/2	Dynamic	3/4	1	1	0						f					
84	81	243	243	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	573				50			
84	81	241	241	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	574							
84	81	724/3	724/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	575							
84	81	725/3	725/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	576							
84	81	242	242	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	577							
84	81	727/3	727/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	578							
84	81	728/3	728/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	579							
84	81	243	243	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	580							
84	81	730/3	730/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	581							
84	81	731/3	731/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	582							
84	81	241	241	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	583							
85	82	244	244	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	584							
85	82	244	244	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	585							
85	82	733/3	733/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	586							
85	82	734/3	734/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	587							
85	82	245	245	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	588							
85	82	736/3	736/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	589							
85	82	737/3	737/3	0.0	5/12	5/12	Dynamic	3/4	2	1	0						ff					
85	82	737/3	737/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	590							
85	82	246	246	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	591							
85	82	739/3	739/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	592							
85	82	740/3	740/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	593							
85	82	246	246	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	594				51			
86	83	247	247	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	595							
86	83	742/3	742/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	596							
86	83	743/3	743/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	597							
86	83	248	248	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	598							
86	83	745/3	745/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	599							
86	83	746/3	746/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	600							
86	83	249	249	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	601							
86	83	748/3	748/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	602							
86	83	749/3	749/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	603							
86	83	247	247	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	604							
86	83	249	249	0.0	1/2	1/2	Dynamic	3/4	2	1	0						ff					
86	83	249	249	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	605				52			
87	84	250	250	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	606							
87	84	751/3	751/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	607							
87	84	752/3	752/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	608							
87	84	251	251	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	609							
87	84	754/3	754/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	610							
87	84	755/3	755/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	611							
87	84	252	252	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	612							
87	84	757/3	757/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	613							
87	84	758/3	758/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	614							
87	84	250	250	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	615			articStaccatoBelow				
87	84	252	252	0.0	1/2	1/2	Dynamic	3/4	2	1	0						ff					
87	84	252	252	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	616				53			
88	85	253	253	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	617							
88	85	760/3	760/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	618							
88	85	761/3	761/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	619							
88	85	253	253	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	620			articStaccatoAbove				
