mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	slur	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
130	128	254	258	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	560						
130	128	255	259	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	561			50			
131	129	256	260	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	562			49			
131	129	513/2	521/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	563			49			
131	129	257	261	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	564						
131	129	256	260	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	565						
132	130	258	262	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	566						
132	130	259	263	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	567			51			
132	130	259	263	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	568			52			
133	131	260	264	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	569			51			
133	131	521/2	529/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	570			51			
133	131	261	265	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	571						
133	131	260	264	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	572						
134	132	262	266	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	573						
134	132	263	267	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	574			53			
134	132	263	267	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	575			54			
135	133	264	268	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	576			53			
135	133	265	269	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	577			53			
135	133	264	268	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	578			54			
135	133	265	269	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	579			54			
136	134	266	270	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	580			53			
136	134	267	271	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	581			53			
136	134	266	270	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	582			54			
136	134	267	271	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	583			54			
137	135	268	272	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	584						
137	135	268	272	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	585						
138	136	270	274	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	586						
138	136	271	275	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	587						
138	136	270	274	2.0		0	0	Chord	2/4	1	2	1/2	1/2	1	588						
138	136	270	274	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	589						
138	136	270	274	2.0		0	0	Chord	2/4	2	2	1/2	1/2	1	590						
139	137	272	276	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	591			55			
139	137	273	277	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	592						
139	137	272	276	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	593						
139	137	273	277	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	594						
139	137	272	276	2.0		0	0	Chord	2/4	2	2	1/2	1/2	1	595						
140	138	274	278	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	596		articStaccatoAbove	56			
140	138	275	279	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	597		articStaccatoAbove				
140	138	274	278	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	598						
140	138	275	279	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	599						
140	138	274	278	2.0		0	0	Chord	2/4	2	2	1/2	1/2	1	600						
141	139	276	280	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	601			57			
141	139	277	281	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	602						
141	139	276	280	1.0		0	0	Chord	2/4	1	2	1/4	1/4	1	603						
141	139	277	281	1.0		1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	604						
141	139	276	280	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	605						
141	139	277	281	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	606						
144	142	282	286	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	607		articStaccatoAbove				
144	142	283	287	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	608		articStaccatoAbove				
144	142	282	286	1.0		0	0	Chord	2/4	1	2	1/4	1/4	1	609						
144	142	283	287	1.0		1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	610						
144	142	282	286	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	611		articStaccatoAbove				
144	142	283	287	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	612		articStaccatoAbove				
145	143		288	1.0	1	0	0	Chord	2/4	1	1	1/4	1/4	1	613		articStaccatoAbove				
145	143		289	0.0	1	1/4	1/4	Dynamic	2/4	1	1	0				sf					
145	143		289	1.0	1	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	614						
145	143		288	1.0	1	0	0	Chord	2/4	2	1	1/4	1/4	1	615		articStaccatoBelow				
145	143		289	1.0	1	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	616						
146	143		290	1.0	1	0	0	Chord	2/4	1	1	1/4	1/4	1	617		articStaccatoAbove				
146	143		291	1.0	1	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	618		articStaccatoAbove				
146	143		290	1.0	1	0	0	Chord	2/4	2	1	1/4	1/4	1	619		articStaccatoBelow				
146	143		291	1.0	1	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	620		articStaccatoBelow				
147	143	284	292	1.0	2	0	0	Chord	2/4	1	1	1/4	1/4	1	621						
147	143	284	292	1.0	2	0	0	Chord	2/4	2	1	1/4	1/4	1	622						
148	144	286	294	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	623						
148	144	286	294	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	624						
150	146	290	298	0.0		0	0	Dynamic	2/4	1	1	0				sf					
150	146	290	298	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	625						
150	146	290	298	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	626						
152	148	294	302	0.0		0	0	Dynamic	2/4	1	1	0				sf					
152	148	294	302	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	627						
152	148	294	302	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	628						
154	150	298	306	0.0		0	0	Dynamic	2/4	1	1	0				sf					
154	150	298	306	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	629						
154	150	298	306	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	630						
156	152	302	310	0.0		0	0	Spanner	2/4	1	1	0							1		
156	152	302	310	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	631				1		
156	152	302	310	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	632						
158	154	306	314	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	633				1		
158	154	306	314	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	634						
159	155	308	316	0.0		0	0	Spanner	2/4	1	1	0									
159	155	308	316	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	635						
159	155	308	316	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	636			58			
159	155	617/2	633/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	637			58			
159	155	309	317	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	638			58			
159	155	619/2	635/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	639			58			
160	156	310	318	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	640						
160	156	310	318	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	641			58			
160	156	621/2	637/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	642			58			
160	156	311	319	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	643			58			
160	156	623/2	639/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	644			58			
161	157	312	320	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	645						
161	157	312	320	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	646			58			
161	157	625/2	641/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	647			58			
161	157	313	321	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	648			58			
161	157	627/2	643/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	649			58			
162	158	314	322	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	650						
162	158	314	322	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	651			58			
162	158	629/2	645/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	652			58			
162	158	315	323	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	653			58			
162	158	631/2	647/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	654						
