mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
36	36	215/2	215/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	216								
36	36	105	105	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	217								
36	36	105	105	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	218				39				
36	36	106	106	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	219				39				
36	36	213/2	213/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	220				39				
36	36	107	107	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	221				39				
36	36	215/2	215/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	222								
36	36	105	105	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	223								
37	37	108	108	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	224				40				
37	37	109	109	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	225				40				
37	37	110	110	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	226				40				
37	37	108	108	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	227								
37	37	109	109	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	228								
37	37	110	110	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	229								
37	37	108	108	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	230				41				
37	37	109	109	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	231				41				
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	232								
38	38	111	111	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	233				40				
38	38	112	112	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	234				40				
38	38	113	113	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	235								
38	38	111	111	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	236								
38	38	113	113	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	237								
