mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	Trill:trill	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
119	115	360	360	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	1534							3	3		
119	115	1441/4	1441/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	1535							3	3		
119	115	721/2	721/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	1536							3	3		
119	115	1443/4	1443/4	0.0	9/16	9/16	Spanner	12/16	2	1	0														
119	115	1443/4	1443/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	1537										
119	115	361	361	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	1538										
119	115	1445/4	1445/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	1539										
120	116	723/2	723/2	0.0	0	0	Spanner	12/16	1	1	0														15
120	116	723/2	723/2	0.5	0	0	Chord	12/16	1	1	1/8		1/8	1	1540				45						15
120	116	362	362	0.25	1/8	1/8	Chord	12/16	1	1	1/16		1/16	1	1541				45						15
120	116	1449/4	1449/4	0.5	3/16	3/16	Chord	12/16	1	1	1/8		1/8	1	1542				45						15
120	116	1451/4	1451/4	0.25	5/16	5/16	Chord	12/16	1	1	1/16		1/16	1	1543										15
120	116	1453/4	1453/4	0.25	7/16	7/16	Chord	12/16	1	1	1/16		1/16	1	1544				46						15
120	116	727/2	727/2	0.125	1/2	1/2	Chord	12/16	1	1	1/32		1/32	1	1545				46						15
120	116	2909/8	2909/8	0.125	17/32	17/32	Chord	12/16	1	1	1/32		1/32	1	1546										15
120	116	1455/4	1455/4	0.0	9/16	9/16	Spanner	12/16	1	1	0														
120	116	1455/4	1455/4	0.0	9/16	9/16	Spanner	12/16	1	1	0													14	
120	116	364	364	0.25	5/8	5/8	Chord	12/16	1	1	1/16		1/16	1	1547				47					14	
120	116	1457/4	1457/4	0.125	11/16	11/16	Chord	12/16	1	1	1/32		1/32	1	1548				47					14	
120	116	2915/8	2915/8	0.125	23/32	23/32	Chord	12/16	1	1	1/32		1/32	1	1549									14	
120	116	723/2	723/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	1550										
120	116	1447/4	1447/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	1551										
120	116	362	362	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	1552										
120	116	1449/4	1449/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	1553										
120	116	725/2	725/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	1554										
120	116	1451/4	1451/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	1555										
120	116	363	363	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	1556										
120	116	1453/4	1453/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	1557										
120	116	727/2	727/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	1558										
120	116	1455/4	1455/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	1559										
120	116	364	364	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	1560										
120	116	1457/4	1457/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	1561										
121	117	729/2	729/2	0.0	0	0	Spanner	12/16	1	1	0														
121	117	729/2	729/2	0.0	0	0	Spanner	12/16	1	1	0														16
121	117	729/2	729/2	0.5	0	0	Chord	12/16	1	1	1/8		1/8	1	1562										16
121	117	365	365	0.25	1/8	1/8	Chord	12/16	1	1	1/16		1/16	1	1563										16
121	117	1461/4	1461/4	0.25	3/16	3/16	Chord	12/16	1	1	1/16		1/16	1	1564										16
121	117	731/2	731/2	0.25	1/4	1/4	Chord	12/16	1	1	1/16		1/16	1	1565				48						16
121	117	1463/4	1463/4	0.25	5/16	5/16	Chord	12/16	1	1	1/16		1/16	1	1566										16
121	117	1465/4	1465/4	0.25	7/16	7/16	Chord	12/16	1	1	1/16		1/16	1	1567				49						16
121	117	733/2	733/2	0.25	1/2	1/2	Chord	12/16	1	1	1/16		1/16	1	1568										16
121	117	367	367	0.25	5/8	5/8	Chord	12/16	1	1	1/16		1/16	1	1569				50						16
121	117	1469/4	1469/4	0.25	11/16	11/16	Chord	12/16	1	1	1/16		1/16	1	1570										16
121	117	729/2	729/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	1571										
121	117	1459/4	1459/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	1572										
121	117	365	365	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	1573										
121	117	1461/4	1461/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	1574										
121	117	731/2	731/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	1575										
121	117	1463/4	1463/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	1576										
121	117	366	366	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	1577										
121	117	1465/4	1465/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	1578										
121	117	733/2	733/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	1579										
121	117	1467/4	1467/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	1580										
121	117	367	367	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	1581										
121	117	1469/4	1469/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	1582										
122	118	735/2	735/2	0.25	0	0	Chord	12/16	1	1	1/16		1/16	1	1583				51						16
122	118	1471/4	1471/4	0.25	1/16	1/16	Chord	12/16	1	1	1/16		1/16	1	1584				51						16
122	118	368	368	0.125	1/8	1/8	Chord	12/16	1	1	1/32		1/32	1	1585				51						16
122	118	2945/8	2945/8	0.125	5/32	5/32	Chord	12/16	1	1	1/32		1/32	1	1586										16
122	118	1473/4	1473/4	0.0	3/16	3/16	Spanner	12/16	1	1	0														
122	118	1473/4	1473/4	0.0	3/16	3/16	Spanner	12/16	1	1	0													15	
122	118	737/2	737/2	0.25	1/4	1/4	Chord	12/16	1	1	1/16		1/16	1	1587				52					15	
122	118	1475/4	1475/4	0.125	5/16	5/16	Chord	12/16	1	1	1/32		1/32	1	1588				52					15	
122	118	2951/8	2951/8	0.125	11/32	11/32	Chord	12/16	1	1	1/32		1/32	1	1589									15	
122	118	369	369	0.0	3/8	3/8	Spanner	12/16	1	1	0														
122	118	369	369	0.75	3/8	3/8	Chord	12/16	1	1	3/16		1/8	3/2	1590				53						
122	118	1479/4	1479/4	0.75	9/16	9/16	Chord	12/16	1	1	3/16		1/8	3/2	1591										
122	118	735/2	735/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	1592										
122	118	1471/4	1471/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	1593										
122	118	368	368	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	1594										
122	118	1473/4	1473/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	1595										
122	118	737/2	737/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	1596										
122	118	1475/4	1475/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	1597										
122	118	369	369	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	1598										
122	118	1477/4	1477/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	1599										
122	118	739/2	739/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	1600										
122	118	1479/4	1479/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	1601										
122	118	370	370	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	1602										
122	118	1481/4	1481/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	1603										
123	119	741/2	741/2	0.0	0	0	Spanner	12/16	1	1	0														17
123	119	741/2	741/2	0.75	0	0	Chord	12/16	1	1	3/16		1/8	3/2	1604				54						17
123	119	1485/4	1485/4	0.25	3/16	3/16	Chord	12/16	1	1	1/16		1/16	1	1605				54						17
123	119	743/2	743/2	0.25	1/4	1/4	Chord	12/16	1	1	1/16		1/16	1	1606				54						17
123	119	1487/4	1487/4	0.125	5/16	5/16	Chord	12/16	1	1	1/32		1/32	1	1607			articStaccatoBelow							17
123	119	372	372	0.75	3/8	3/8	Chord	12/16	1	1	3/16		1/8	3/2	1608				55						17
123	119	1491/4	1491/4	0.25	9/16	9/16	Chord	12/16	1	1	1/16		1/16	1	1609				55						17
123	119	373	373	0.25	5/8	5/8	Chord	12/16	1	1	1/16		1/16	1	1610				55						17
123	119	1493/4	1493/4	0.125	11/16	11/16	Chord	12/16	1	1	1/32		1/32	1	1611			articStaccatoAbove							17
123	119	741/2	741/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	1612										
123	119	1483/4	1483/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	1613										
123	119	371	371	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	1614										
123	119	1485/4	1485/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	1615										
123	119	743/2	743/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	1616										
123	119	1487/4	1487/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	1617										
123	119	372	372	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	1618										
123	119	1489/4	1489/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	1619										
123	119	745/2	745/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	1620										
123	119	1491/4	1491/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	1621										
123	119	373	373	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	1622										
123	119	1493/4	1493/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	1623										
124	120	747/2	747/2	0.75	0	0	Chord	12/16	1	1	3/16		1/8	3/2	1624				56						17
124	120	1497/4	1497/4	0.25	3/16	3/16	Chord	12/16	1	1	1/16		1/16	1	1625				56						17
124	120	749/2	749/2	0.25	1/4	1/4	Chord	12/16	1	1	1/16		1/16	1	1626				56						17
124	120	1499/4	1499/4	0.25	5/16	5/16	Chord	12/16	1	1	1/16		1/16	1	1627			articStaccatoAbove							17
124	120	1501/4	1501/4	0.25	7/16	7/16	Chord	12/16	1	1	1/16		1/16	1	1628				57						17
124	120	751/2	751/2	0.25	1/2	1/2	Chord	12/16	1	1	1/16		1/16	1	1629										17
124	120	376	376	0.25	5/8	5/8	Chord	12/16	1	1	1/16		1/16	1	1630				58						17
124	120	1505/4	1505/4	0.25	11/16	11/16	Chord	12/16	1	1	1/16		1/16	1	1631										17
124	120	747/2	747/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	1632										
124	120	1495/4	1495/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	1633										
124	120	374	374	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	1634										
124	120	1497/4	1497/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	1635										
124	120	749/2	749/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	1636										
124	120	1499/4	1499/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	1637										
124	120	375	375	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	1638										
124	120	1501/4	1501/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	1639										
124	120	751/2	751/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	1640										
124	120	1503/4	1503/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	1641										
124	120	376	376	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	1642										
124	120	1505/4	1505/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	1643										
125	121	753/2	753/2	0.0	0	0	Spanner	12/16	1	1	0														
125	121	1507/4	1507/4	0.125	1/16	1/16	Chord	12/16	1	1	1/32		1/32	1	1644				59						
125	121	3015/8	3015/8	0.125	3/32	3/32	Chord	12/16	1	1	1/32		1/32	1	1645				59						
125	121	377	377	0.25	1/8	1/8	Chord	12/16	1	1	1/16		1/16	1	1646										
125	121	1509/4	1509/4	0.25	3/16	3/16	Chord	12/16	1	1	1/16		1/16	1	1647				60						
125	121	755/2	755/2	0.125	1/4	1/4	Chord	12/16	1	1	1/32		1/32	1	1648				60						
125	121	3021/8	3021/8	0.125	9/32	9/32	Chord	12/16	1	1	1/32		1/32	1	1649				60						
125	121	1511/4	1511/4	0.25	5/16	5/16	Chord	12/16	1	1	1/16		1/16	1	1650										
125	121	378	378	0.25	3/8	3/8	Chord	12/16	1	1	1/16		1/16	1	1651				61						
125	121	1513/4	1513/4	0.25	7/16	7/16	Chord	12/16	1	1	1/16		1/16	1	1652										
125	121	757/2	757/2	0.25	1/2	1/2	Chord	12/16	1	1	1/16		1/16	1	1653										
125	121	3033/8	3033/8	0.0	21/32	21/32	Dynamic	12/16	1	1	0						pp								
125	121	3033/8	3033/8	0.125	21/32	21/32	Chord	12/16	1	1	1/32		1/32	1	1654				62						
125	121	1517/4	1517/4	0.125	11/16	11/16	Chord	12/16	1	1	1/32		1/32	1	1655				62						
125	121	3035/8	3035/8	0.125	23/32	23/32	Chord	12/16	1	1	1/32		1/32	1	1656										
125	121	753/2	753/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	1657										
125	121	1507/4	1507/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	1658										
125	121	377	377	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	1659										
125	121	1509/4	1509/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	1660										
125	121	755/2	755/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	1661										
125	121	1511/4	1511/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	1662										
125	121	378	378	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	1663										
125	121	1513/4	1513/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	1664										
125	121	757/2	757/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	1665										
125	121	1515/4	1515/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	1666										
125	121	379	379	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	1667										
125	121	1517/4	1517/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	1668										
126	122	759/2	759/2	0.0	0	0	Chord	12/16	1	1	0	grace32	1/32	1	1669										
126	122	759/2	759/2	1.5	0	0	Chord	12/16	1	1	3/8		1/4	3/2	1670				63						
126	122	381	381	0.75	3/8	3/8	Chord	12/16	1	1	3/16		1/8	3/2	1671				63						
126	122	1527/4	1527/4	0.75	9/16	9/16	Chord	12/16	1	1	3/16		1/8	3/2	1672										
126	122	759/2	759/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	1673										
126	122	1519/4	1519/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	1674										
126	122	380	380	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	1675										
126	122	1521/4	1521/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	1676										
126	122	761/2	761/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	1677										
126	122	1523/4	1523/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	1678										
126	122	381	381	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	1679										
126	122	1525/4	1525/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	1680										
126	122	763/2	763/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	1681										
126	122	1527/4	1527/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	1682										
126	122	382	382	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	1683										
126	122	1529/4	1529/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	1684										
127	123	765/2	765/2	0.0	0	0	Spanner	12/16	1	1	0														18
127	123	765/2	765/2	0.5	0	0	Chord	12/16	1	1	1/8		1/8	1	1685										18
127	123	383	383	0.25	1/8	1/8	Chord	12/16	1	1	1/16		1/16	1	1686										18
127	123	1535/4	1535/4	0.25	5/16	5/16	Chord	12/16	1	1	1/16		1/16	1	1687				64						18
127	123	384	384	0.5	3/8	3/8	Chord	12/16	1	1	1/8		1/8	1	1688				64						18
127	123	769/2	769/2	0.25	1/2	1/2	Chord	12/16	1	1	1/16		1/16	1	1689				64						18
127	123	1539/4	1539/4	0.0	9/16	9/16	Spanner	12/16	1	1	0								64						
127	123	1539/4	1539/4	0.0	9/16	9/16	Spanner	12/16	1	1	0								64					16	
127	123	1539/4	1539/4	0.5	9/16	9/16	Chord	12/16	1	1	1/8		1/8	1	1690				64					16	
127	123	1541/4	1541/4	0.25	11/16	11/16	Chord	12/16	1	1	1/16		1/16	1	1691									16	
127	123	765/2	765/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	1692										
127	123	1531/4	1531/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	1693										
127	123	383	383	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	1694										
127	123	1533/4	1533/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	1695										
127	123	767/2	767/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	1696										
127	123	1535/4	1535/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	1697										
127	123	384	384	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	1698										
127	123	1537/4	1537/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	1699										
127	123	769/2	769/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	1700										
127	123	1539/4	1539/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	1701										
127	123	385	385	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	1702										
127	123	1541/4	1541/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	1703										
128	124	771/2	771/2	0.0	0	0	Spanner	12/16	1	1	0														
128	124	771/2	771/2	0.0	0	0	Spanner	12/16	1	1	0														19
128	124	771/2	771/2	0.0	0	0	Chord	12/16	1	1	0	acciaccatura	1/32	1	1704										19
128	124	771/2	771/2	0.5	0	0	Chord	12/16	1	1	1/8		1/8	1	1705				65						19
128	124	386	386	0.25	1/8	1/8	Chord	12/16	1	1	1/16		1/16	1	1706										19
128	124	1545/4	1545/4	0.75	3/16	3/16	Chord	12/16	1	1	3/16		1/8	3/2	1707										19
128	124	387	387	0.25	3/8	3/8	Chord	12/16	1	1	1/16		1/16	1	1708										19
128	124	1549/4	1549/4	0.25	7/16	7/16	Chord	12/16	1	1	1/16		1/16	1	1709										19
128	124	775/2	775/2	0.25	1/2	1/2	Chord	12/16	1	1	1/16		1/16	1	1710										19
128	124	388	388	0.25	5/8	5/8	Chord	12/16	1	1	1/16		1/16	1	1711										19
128	124	1553/4	1553/4	0.25	11/16	11/16	Chord	12/16	1	1	1/16		1/16	1	1712										19
128	124	771/2	771/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	1713										
128	124	1543/4	1543/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	1714										
128	124	386	386	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	1715										
128	124	1545/4	1545/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	1716										
128	124	773/2	773/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	1717										
128	124	1547/4	1547/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	1718										
128	124	387	387	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	1719										
128	124	1549/4	1549/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	1720										
128	124	775/2	775/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	1721										
128	124	1551/4	1551/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	1722										
128	124	388	388	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	1723										
128	124	1553/4	1553/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	1724										
129	125	1555/4	1555/4	0.25	1/16	1/16	Chord	12/16	1	1	1/16		1/16	1	1725										19
129	125	389	389	0.25	1/8	1/8	Chord	12/16	1	1	1/16		1/16	1	1726										19
129	125	1557/4	1557/4	0.0	3/16	3/16	Spanner	12/16	1	1	0														
129	125	1557/4	1557/4	0.0	3/16	3/16	Spanner	12/16	1	1	0													17	
129	125	779/2	779/2	0.25	1/4	1/4	Chord	12/16	1	1	1/16		1/16	1	1727									17	
129	125	1559/4	1559/4	0.25	5/16	5/16	Chord	12/16	1	1	1/16		1/16	1	1728									17	
129	125	1561/4	1561/4	0.25	7/16	7/16	Chord	12/16	1	1	1/16		1/16	1	1729									17	
129	125	781/2	781/2	0.25	1/2	1/2	Chord	12/16	1	1	1/16		1/16	1	1730									17	
129	125	391	391	0.25	5/8	5/8	Chord	12/16	1	1	1/16		1/16	1	1731									17	
129	125	1565/4	1565/4	0.25	11/16	11/16	Chord	12/16	1	1	1/16		1/16	1	1732									17	
129	125	777/2	777/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	1733										
129	125	1555/4	1555/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	1734										
129	125	389	389	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	1735										
129	125	1557/4	1557/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	1736										
129	125	779/2	779/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	1737										
129	125	1559/4	1559/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	1738										
129	125	390	390	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	1739										
129	125	1561/4	1561/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	1740										
129	125	781/2	781/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	1741										
129	125	1563/4	1563/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	1742										
129	125	391	391	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	1743										
129	125	1565/4	1565/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	1744										
130	126	783/2	783/2	0.0	0	0	Spanner	12/16	1	1	0														20
130	126	783/2	783/2	0.0	0	0	Spanner	12/16	1	1	0														20
130	126	783/2	783/2	0.5	0	0	Chord	12/16	1	1	1/8		1/8	1	1745				66						20
130	126	392	392	0.25	1/8	1/8	Chord	12/16	1	1	1/16		1/16	1	1746				66						20
130	126	1569/4	1569/4	0.25	3/16	3/16	Chord	12/16	1	1	1/16		1/16	1	1747				66						20
130	126	785/2	785/2	0.25	1/4	1/4	Chord	12/16	1	1	1/16		1/16	1	1748				66						20
130	126	1571/4	1571/4	0.25	5/16	5/16	Chord	12/16	1	1	1/16		1/16	1	1749				66						20
130	126	393	393	0.0	3/8	3/8	Spanner	12/16	1	1	0								66						
130	126	393	393	0.0	3/8	3/8	Spanner	12/16	1	1	0								66					18	
130	126	393	393	0.5	3/8	3/8	Chord	12/16	1	1	1/8		1/8	1	1750				66					18	
130	126	787/2	787/2	0.25	1/2	1/2	Chord	12/16	1	1	1/16		1/16	1	1751									18	
130	126	1575/4	1575/4	0.0	9/16	9/16	Spanner	12/16	1	1	0														
130	126	1577/4	1577/4	0.25	11/16	11/16	Chord	12/16	1	1	1/16		1/16	1	1752										
130	126	783/2	783/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	1753										
130	126	1567/4	1567/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	1754										
130	126	392	392	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	1755										
130	126	1569/4	1569/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	1756										
130	126	785/2	785/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	1757										
130	126	1571/4	1571/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	1758										
130	126	393	393	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	1759										
130	126	1573/4	1573/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	1760										
130	126	787/2	787/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	1761										
130	126	1575/4	1575/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	1762										
130	126	394	394	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	1763										
130	126	1577/4	1577/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	1764										
131	127	789/2	789/2	0.0	0	0	Spanner	12/16	1	1	0														21
131	127	789/2	789/2	0.75	0	0	Chord	12/16	1	1	3/16		1/8	3/2	1765										21
131	127	1581/4	1581/4	0.5	3/16	3/16	Chord	12/16	1	1	1/8		1/8	1	1766										21
131	127	1583/4	1583/4	0.25	5/16	5/16	Chord	12/16	1	1	1/16		1/16	1	1767				67						21
131	127	396	396	0.25	3/8	3/8	Chord	12/16	1	1	1/16		1/16	1	1768										21
131	127	793/2	793/2	0.25	1/2	1/2	Chord	12/16	1	1	1/16		1/16	1	1769										21
131	127	1589/4	1589/4	0.25	11/16	11/16	Chord	12/16	1	1	1/16		1/16	1	1770				68						21
131	127	789/2	789/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	1771										
131	127	1579/4	1579/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	1772										
131	127	395	395	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	1773										
131	127	1581/4	1581/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	1774										
131	127	791/2	791/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	1775										
131	127	1583/4	1583/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	1776										
131	127	396	396	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	1777										
131	127	1585/4	1585/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	1778										
131	127	793/2	793/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	1779										
131	127	1587/4	1587/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	1780										
131	127	397	397	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	1781										
131	127	1589/4	1589/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	1782										
132	128	795/2	795/2	0.75	0	0	Chord	12/16	1	1	3/16		1/8	3/2	1783										21
132	128	1593/4	1593/4	0.5	3/16	3/16	Chord	12/16	1	1	1/8		1/8	1	1784										21
132	128	1595/4	1595/4	0.25	5/16	5/16	Chord	12/16	1	1	1/16		1/16	1	1785				69						21
132	128	399	399	0.25	3/8	3/8	Chord	12/16	1	1	1/16		1/16	1	1786										21
