mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
50	50	147	147	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	517	>			103				
50	50	148	148	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	518								
50	50	1193/8	1193/8	0.125	17/32	17/32	Chord	3/4	1	2	1/32		1/32	1	519	p			104				
50	50	597/4	597/4	0.125	9/16	9/16	Chord	3/4	1	2	1/32		1/32	1	520				104				
50	50	1195/8	1195/8	0.125	19/32	19/32	Chord	3/4	1	2	1/32		1/32	1	521				104				
50	50	299/2	299/2	0.125	5/8	5/8	Chord	3/4	1	2	1/32		1/32	1	522				104				
50	50	1197/8	1197/8	0.125	21/32	21/32	Chord	3/4	1	2	1/32		1/32	1	523				104				
50	50	599/4	599/4	0.125	11/16	11/16	Chord	3/4	1	2	1/32		1/32	1	524				104				
50	50	1199/8	1199/8	0.125	23/32	23/32	Chord	3/4	1	2	1/32		1/32	1	525								
50	50	147	147	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	526				105				
50	50	148	148	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	527								
50	50	147	147	1.5	0	0	Chord	3/4	2	2	3/8		1/4	3/2	528								
51	51	150	150	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	529								
51	51	150	150	0.875	0	0	Chord	3/4	1	2	7/32		1/8	7/4	530				106				
51	51	1207/8	1207/8	0.125	7/32	7/32	Chord	3/4	1	2	1/32		1/32	1	531				106				
51	51	151	151	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	532								
51	51	152	152	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	533								
51	51	150	150	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	534			articStaccatoBelow					
51	51	1209/8	1209/8	0.125	9/32	9/32	Chord	3/4	2	1	1/32		1/32	1	535								
51	51	605/4	605/4	0.125	5/16	5/16	Chord	3/4	2	1	1/32		1/32	1	536								
51	51	1211/8	1211/8	0.125	11/32	11/32	Chord	3/4	2	1	1/32		1/32	1	537								
51	51	303/2	303/2	0.125	3/8	3/8	Chord	3/4	2	1	1/32		1/32	1	538								
51	51	1213/8	1213/8	0.125	13/32	13/32	Chord	3/4	2	1	1/32		1/32	1	539								
51	51	607/4	607/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	540								
51	51	1215/8	1215/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	541								
51	51	152	152	0.125	1/2	1/2	Chord	3/4	2	1	1/32		1/32	1	542								
51	51	1217/8	1217/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	543								
51	51	609/4	609/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32		1/32	1	544								
51	51	1219/8	1219/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32		1/32	1	545								
51	51	305/2	305/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32		1/32	1	546								
51	51	1221/8	1221/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32		1/32	1	547								
51	51	611/4	611/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	548								
51	51	1223/8	1223/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	549								
52	52	153	153	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	550				107				
52	52	307/2	307/2	0.375	1/8	1/8	Chord	3/4	1	1	3/32		1/16	3/2	551			ornamentTurn	107				
52	52	1231/8	1231/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	552								
52	52	154	154	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	553								
52	52	155	155	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	554								
52	52	153	153	0.125	0	0	Chord	3/4	2	1	1/32		1/32	1	555								
52	52	1225/8	1225/8	0.125	1/32	1/32	Chord	3/4	2	1	1/32		1/32	1	556								
52	52	613/4	613/4	0.125	1/16	1/16	Chord	3/4	2	1	1/32		1/32	1	557								
52	52	1227/8	1227/8	0.125	3/32	3/32	Chord	3/4	2	1	1/32		1/32	1	558								
52	52	307/2	307/2	0.125	1/8	1/8	Chord	3/4	2	1	1/32		1/32	1	559								
52	52	1229/8	1229/8	0.125	5/32	5/32	Chord	3/4	2	1	1/32		1/32	1	560								
52	52	615/4	615/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32		1/32	1	561								
52	52	1231/8	1231/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32		1/32	1	562								
52	52	154	154	0.125	1/4	1/4	Chord	3/4	2	1	1/32		1/32	1	563								
52	52	1233/8	1233/8	0.125	9/32	9/32	Chord	3/4	2	1	1/32		1/32	1	564								
52	52	617/4	617/4	0.125	5/16	5/16	Chord	3/4	2	1	1/32		1/32	1	565								
52	52	1235/8	1235/8	0.125	11/32	11/32	Chord	3/4	2	1	1/32		1/32	1	566								
52	52	309/2	309/2	0.125	3/8	3/8	Chord	3/4	2	1	1/32		1/32	1	567								
52	52	1237/8	1237/8	0.125	13/32	13/32	Chord	3/4	2	1	1/32		1/32	1	568								
52	52	619/4	619/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	569								
52	52	1239/8	1239/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	570								
52	52	155	155	0.125	1/2	1/2	Chord	3/4	2	1	1/32		1/32	1	571								
52	52	1241/8	1241/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	572								
52	52	621/4	621/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32		1/32	1	573								
52	52	1243/8	1243/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32		1/32	1	574								
52	52	311/2	311/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32		1/32	1	575								
52	52	1245/8	1245/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32		1/32	1	576								
52	52	623/4	623/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	577								
52	52	1247/8	1247/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	578								
53	53	156	156	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	579								
53	53	156	156	0.875	0	0	Chord	3/4	1	2	7/32		1/8	7/4	580				108				
53	53	1255/8	1255/8	0.125	7/32	7/32	Chord	3/4	1	2	1/32		1/32	1	581				108				
53	53	157	157	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	582								
53	53	158	158	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	583	<							
53	53	156	156	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	584			articStaccatoBelow					
53	53	1257/8	1257/8	0.125	9/32	9/32	Chord	3/4	2	1	1/32		1/32	1	585								
53	53	629/4	629/4	0.125	5/16	5/16	Chord	3/4	2	1	1/32		1/32	1	586								
53	53	1259/8	1259/8	0.125	11/32	11/32	Chord	3/4	2	1	1/32		1/32	1	587								
53	53	315/2	315/2	0.125	3/8	3/8	Chord	3/4	2	1	1/32		1/32	1	588								
53	53	1261/8	1261/8	0.125	13/32	13/32	Chord	3/4	2	1	1/32		1/32	1	589								
53	53	631/4	631/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	590								
53	53	1263/8	1263/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	591								
53	53	158	158	0.125	1/2	1/2	Chord	3/4	2	1	1/32		1/32	1	592								
53	53	1265/8	1265/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	593								
53	53	633/4	633/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32		1/32	1	594								
53	53	1267/8	1267/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32		1/32	1	595								
53	53	317/2	317/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32		1/32	1	596								
53	53	1269/8	1269/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32		1/32	1	597								
53	53	635/4	635/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	598								
53	53	1271/8	1271/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	599								
54	54	159	159	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	600				109				
54	54	319/2	319/2	0.375	1/8	1/8	Chord	3/4	1	1	3/32		1/16	3/2	601			ornamentTurn	109				
54	54	1279/8	1279/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	602								
54	54	160	160	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	603								
54	54	161	161	0.0	1/2	1/2	Dynamic	3/4	1	1	0						sf						
54	54	161	161	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	604								
54	54	159	159	0.125	0	0	Chord	3/4	2	1	1/32		1/32	1	605								
54	54	1273/8	1273/8	0.125	1/32	1/32	Chord	3/4	2	1	1/32		1/32	1	606								
54	54	637/4	637/4	0.125	1/16	1/16	Chord	3/4	2	1	1/32		1/32	1	607								
54	54	1275/8	1275/8	0.125	3/32	3/32	Chord	3/4	2	1	1/32		1/32	1	608								
54	54	319/2	319/2	0.125	1/8	1/8	Chord	3/4	2	1	1/32		1/32	1	609								
54	54	1277/8	1277/8	0.125	5/32	5/32	Chord	3/4	2	1	1/32		1/32	1	610								
54	54	639/4	639/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32		1/32	1	611								
54	54	1279/8	1279/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32		1/32	1	612								
54	54	160	160	0.125	1/4	1/4	Chord	3/4	2	1	1/32		1/32	1	613								
54	54	1281/8	1281/8	0.125	9/32	9/32	Chord	3/4	2	1	1/32		1/32	1	614								
54	54	641/4	641/4	0.125	5/16	5/16	Chord	3/4	2	1	1/32		1/32	1	615								
54	54	1283/8	1283/8	0.125	11/32	11/32	Chord	3/4	2	1	1/32		1/32	1	616								
54	54	321/2	321/2	0.125	3/8	3/8	Chord	3/4	2	1	1/32		1/32	1	617								
54	54	1285/8	1285/8	0.125	13/32	13/32	Chord	3/4	2	1	1/32		1/32	1	618								
54	54	643/4	643/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	619								
54	54	1287/8	1287/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	620								
54	54	1289/8	1289/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	621								
54	54	645/4	645/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32		1/32	1	622								
54	54	1291/8	1291/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32		1/32	1	623								
54	54	323/2	323/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32		1/32	1	624								
54	54	1293/8	1293/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32		1/32	1	625								
54	54	647/4	647/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	626								
54	54	1295/8	1295/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	627								
55	55	162	162	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	628								
55	55	164	164	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	629								
55	55	162	162	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	630								
55	55	325/2	325/2	0.375	1/8	1/8	Chord	3/4	1	2	3/32		1/16	3/2	631				110				
55	55	1303/8	1303/8	0.125	7/32	7/32	Chord	3/4	1	2	1/32		1/32	1	632								
55	55	163	163	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	633								
55	55	164	164	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	634								
55	55	659/4	659/4	0.25	11/16	11/16	Chord	3/4	1	2	1/16		1/16	1	635								
55	55	162	162	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	636								
55	55	1305/8	1305/8	0.125	9/32	9/32	Chord	3/4	2	1	1/32		1/32	1	637								
55	55	653/4	653/4	0.125	5/16	5/16	Chord	3/4	2	1	1/32		1/32	1	638								
55	55	1307/8	1307/8	0.125	11/32	11/32	Chord	3/4	2	1	1/32		1/32	1	639								
55	55	327/2	327/2	0.125	3/8	3/8	Chord	3/4	2	1	1/32		1/32	1	640								
55	55	1309/8	1309/8	0.125	13/32	13/32	Chord	3/4	2	1	1/32		1/32	1	641								
55	55	655/4	655/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	642								
55	55	1311/8	1311/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	643								
55	55	164	164	0.125	1/2	1/2	Chord	3/4	2	1	1/32		1/32	1	644								
55	55	1313/8	1313/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	645								
55	55	657/4	657/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32		1/32	1	646								
55	55	1315/8	1315/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32		1/32	1	647								
55	55	329/2	329/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32		1/32	1	648								
55	55	1317/8	1317/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32		1/32	1	649								
55	55	659/4	659/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	650								
55	55	1319/8	1319/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	651								
56	56	165	165	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	652				111				
56	56	331/2	331/2	0.375	1/8	1/8	Chord	3/4	1	1	3/32		1/16	3/2	653			ornamentTurn	111				
56	56	1327/8	1327/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	654								
56	56	166	166	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	655								
56	56	167	167	0.0	1/2	1/2	Dynamic	3/4	1	1	0						sf						
56	56	167	167	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	656				112				
56	56	165	165	0.125	0	0	Chord	3/4	2	1	1/32		1/32	1	657								
56	56	1321/8	1321/8	0.125	1/32	1/32	Chord	3/4	2	1	1/32		1/32	1	658								
56	56	661/4	661/4	0.125	1/16	1/16	Chord	3/4	2	1	1/32		1/32	1	659								
56	56	1323/8	1323/8	0.125	3/32	3/32	Chord	3/4	2	1	1/32		1/32	1	660								
56	56	331/2	331/2	0.125	1/8	1/8	Chord	3/4	2	1	1/32		1/32	1	661								
56	56	1325/8	1325/8	0.125	5/32	5/32	Chord	3/4	2	1	1/32		1/32	1	662								
56	56	663/4	663/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32		1/32	1	663								
56	56	1327/8	1327/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32		1/32	1	664								
56	56	166	166	0.125	1/4	1/4	Chord	3/4	2	1	1/32		1/32	1	665								
56	56	1329/8	1329/8	0.125	9/32	9/32	Chord	3/4	2	1	1/32		1/32	1	666								
56	56	665/4	665/4	0.125	5/16	5/16	Chord	3/4	2	1	1/32		1/32	1	667								
56	56	1331/8	1331/8	0.125	11/32	11/32	Chord	3/4	2	1	1/32		1/32	1	668								
56	56	333/2	333/2	0.125	3/8	3/8	Chord	3/4	2	1	1/32		1/32	1	669								
56	56	1333/8	1333/8	0.125	13/32	13/32	Chord	3/4	2	1	1/32		1/32	1	670								
56	56	667/4	667/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	671								
56	56	1335/8	1335/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	672								
56	56	1337/8	1337/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	673								
56	56	669/4	669/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32		1/32	1	674								
56	56	1339/8	1339/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32		1/32	1	675								
56	56	335/2	335/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32		1/32	1	676								
56	56	1341/8	1341/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32		1/32	1	677								
56	56	671/4	671/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	678								
56	56	1343/8	1343/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	679								
57	57	168	168	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	680								
57	57	169	169	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	681								
57	57	169	169	0.0	1/4	1/4	Dynamic	3/4	1	2	0						f						
57	57	170	170	0.0	1/2	1/2	Dynamic	3/4	1	2	0						f						
57	57	170	170	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	682			articStaccatoAbove					
57	57	1345/8	1345/8	0.125	1/32	1/32	Chord	3/4	2	1	1/32		1/32	1	683								
57	57	673/4	673/4	0.125	1/16	1/16	Chord	3/4	2	1	1/32		1/32	1	684								
57	57	1347/8	1347/8	0.125	3/32	3/32	Chord	3/4	2	1	1/32		1/32	1	685								
57	57	337/2	337/2	0.125	1/8	1/8	Chord	3/4	2	1	1/32		1/32	1	686								
57	57	1349/8	1349/8	0.125	5/32	5/32	Chord	3/4	2	1	1/32		1/32	1	687								
57	57	675/4	675/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32		1/32	1	688								
57	57	1351/8	1351/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32		1/32	1	689								
57	57	1353/8	1353/8	0.125	9/32	9/32	Chord	3/4	2	1	1/32		1/32	1	690								
57	57	677/4	677/4	0.125	5/16	5/16	Chord	3/4	2	1	1/32		1/32	1	691								
57	57	1355/8	1355/8	0.125	11/32	11/32	Chord	3/4	2	1	1/32		1/32	1	692								
57	57	339/2	339/2	0.125	3/8	3/8	Chord	3/4	2	1	1/32		1/32	1	693								
57	57	1357/8	1357/8	0.125	13/32	13/32	Chord	3/4	2	1	1/32		1/32	1	694								
57	57	679/4	679/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	695								
57	57	1359/8	1359/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	696								
57	57	170	170	0.125	1/2	1/2	Chord	3/4	2	1	1/32		1/32	1	697								
57	57	1361/8	1361/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	698								
57	57	681/4	681/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32		1/32	1	699								
57	57	1363/8	1363/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32		1/32	1	700								
57	57	341/2	341/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32		1/32	1	701								
57	57	1365/8	1365/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32		1/32	1	702								
57	57	683/4	683/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	703								
57	57	1367/8	1367/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	704								
58	58	171	171	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	705								
58	58	171	171	0.0	0	0	Dynamic	3/4	1	2	0						p						
58	58	172	172	0.0	1/4	1/4	Dynamic	3/4	1	2	0						p						
58	58	172	172	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	706			articStaccatoAbove					
58	58	173	173	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	707			articStaccatoBelow					
58	58	1369/8	1369/8	0.125	1/32	1/32	Chord	3/4	2	1	1/32		1/32	1	708								
58	58	685/4	685/4	0.125	1/16	1/16	Chord	3/4	2	1	1/32		1/32	1	709								
58	58	1371/8	1371/8	0.125	3/32	3/32	Chord	3/4	2	1	1/32		1/32	1	710								
58	58	343/2	343/2	0.125	1/8	1/8	Chord	3/4	2	1	1/32		1/32	1	711								
58	58	1373/8	1373/8	0.125	5/32	5/32	Chord	3/4	2	1	1/32		1/32	1	712								
58	58	687/4	687/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32		1/32	1	713								
58	58	1375/8	1375/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32		1/32	1	714								
58	58	1377/8	1377/8	0.125	9/32	9/32	Chord	3/4	2	1	1/32		1/32	1	715								
58	58	689/4	689/4	0.125	5/16	5/16	Chord	3/4	2	1	1/32		1/32	1	716								
58	58	1379/8	1379/8	0.125	11/32	11/32	Chord	3/4	2	1	1/32		1/32	1	717								
58	58	345/2	345/2	0.125	3/8	3/8	Chord	3/4	2	1	1/32		1/32	1	718								
58	58	1381/8	1381/8	0.125	13/32	13/32	Chord	3/4	2	1	1/32		1/32	1	719								
58	58	691/4	691/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	720								
58	58	1383/8	1383/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	721								
58	58	173	173	0.125	1/2	1/2	Chord	3/4	2	1	1/32		1/32	1	722								
58	58	1385/8	1385/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	723								
58	58	693/4	693/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32		1/32	1	724								
58	58	1387/8	1387/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32		1/32	1	725								
58	58	347/2	347/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32		1/32	1	726								
58	58	1389/8	1389/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32		1/32	1	727								
58	58	695/4	695/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	728								
58	58	1391/8	1391/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	729								
59	59	174	174	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	730			articStaccatoBelow					
59	59	174	174	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	731			articStaccatoBelow					
59	59	699/4	699/4	0.08333333333333333	3/16	3/16	Chord	3/4	2	1	1/48		1/32	2/3	732				113				
59	59	1049/6	1049/6	0.08333333333333333	5/24	5/24	Chord	3/4	2	1	1/48		1/32	2/3	733				113				
59	59	2099/12	2099/12	0.08333333333333333	11/48	11/48	Chord	3/4	2	1	1/48		1/32	2/3	734								
59	59	175	175	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	735			articStaccatoBelow					
59	59	703/4	703/4	0.08333333333333333	7/16	7/16	Chord	3/4	2	1	1/48		1/32	2/3	736				114				
59	59	1055/6	1055/6	0.08333333333333333	11/24	11/24	Chord	3/4	2	1	1/48		1/32	2/3	737				114				
59	59	2111/12	2111/12	0.08333333333333333	23/48	23/48	Chord	3/4	2	1	1/48		1/32	2/3	738								
59	59	176	176	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	739			articStaccatoBelow					
59	59	707/4	707/4	0.08333333333333333	11/16	11/16	Chord	3/4	2	1	1/48		1/32	2/3	740				115				
59	59	1061/6	1061/6	0.08333333333333333	17/24	17/24	Chord	3/4	2	1	1/48		1/32	2/3	741				115				
59	59	2123/12	2123/12	0.08333333333333333	35/48	35/48	Chord	3/4	2	1	1/48		1/32	2/3	742								
60	60	177	177	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	743	p			116				
60	60	178	178	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	744				116				
60	60	179	179	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	745								
60	60	177	177	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	746			articStaccatoBelow					
61	61	180	180	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	747				117				
61	61	181	181	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	748								
61	61	723/4	723/4	0.08333333333333333	3/16	3/16	Chord	3/4	2	1	1/48		1/32	2/3	749				118				
61	61	1085/6	1085/6	0.08333333333333333	5/24	5/24	Chord	3/4	2	1	1/48		1/32	2/3	750				118				
61	61	2171/12	2171/12	0.08333333333333333	11/48	11/48	Chord	3/4	2	1	1/48		1/32	2/3	751								
61	61	181	181	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	752			articStaccatoBelow					
61	61	727/4	727/4	0.08333333333333333	7/16	7/16	Chord	3/4	2	1	1/48		1/32	2/3	753				119				
61	61	1091/6	1091/6	0.08333333333333333	11/24	11/24	Chord	3/4	2	1	1/48		1/32	2/3	754				119				
61	61	2183/12	2183/12	0.08333333333333333	23/48	23/48	Chord	3/4	2	1	1/48		1/32	2/3	755								
61	61	182	182	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	756			articStaccatoBelow					
61	61	731/4	731/4	0.08333333333333333	11/16	11/16	Chord	3/4	2	1	1/48		1/32	2/3	757				120				
61	61	1097/6	1097/6	0.08333333333333333	17/24	17/24	Chord	3/4	2	1	1/48		1/32	2/3	758				120				
61	61	2195/12	2195/12	0.08333333333333333	35/48	35/48	Chord	3/4	2	1	1/48		1/32	2/3	759								
62	62	183	183	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	760				121				
62	62	184	184	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	761				121				
62	62	185	185	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	762								
62	62	183	183	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	763			articStaccatoBelow					
63	63	186	186	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	764				122				
63	63	187	187	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	765				122				
63	63	188	188	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	766								
63	63	377/2	377/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	767								
63	63	186	186	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	768								
63	63	188	188	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	769								
63	63	747/4	747/4	0.08333333333333333	3/16	3/16	Chord	3/4	2	1	1/48		1/32	2/3	770				123				
63	63	1121/6	1121/6	0.08333333333333333	5/24	5/24	Chord	3/4	2	1	1/48		1/32	2/3	771				123				
63	63	2243/12	2243/12	0.08333333333333333	11/48	11/48	Chord	3/4	2	1	1/48		1/32	2/3	772								
63	63	187	187	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	773			articStaccatoBelow					
63	63	751/4	751/4	0.08333333333333333	7/16	7/16	Chord	3/4	2	1	1/48		1/32	2/3	774				124				
63	63	1127/6	1127/6	0.08333333333333333	11/24	11/24	Chord	3/4	2	1	1/48		1/32	2/3	775				124				
63	63	2255/12	2255/12	0.08333333333333333	23/48	23/48	Chord	3/4	2	1	1/48		1/32	2/3	776								
63	63	188	188	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	777			articStaccatoBelow					
63	63	755/4	755/4	0.08333333333333333	11/16	11/16	Chord	3/4	2	1	1/48		1/32	2/3	778				125				
63	63	1133/6	1133/6	0.08333333333333333	17/24	17/24	Chord	3/4	2	1	1/48		1/32	2/3	779				125				
63	63	2267/12	2267/12	0.08333333333333333	35/48	35/48	Chord	3/4	2	1	1/48		1/32	2/3	780								
64	64	189	189	0.0	0	0	Spanner	3/4	1	1	0										9		
64	64	189	189	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	781	<			126		9		
64	64	190	190	0.0	1/4	1/4	Spanner	3/4	1	1	0								126				
64	64	190	190	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	782				126				
64	64	191	191	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	783								
64	64	189	189	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	784			articStaccatoBelow					
65	65	192	192	0.0	0	0	Dynamic	3/4	1	1	0						p						
65	65	192	192	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	785	p							
65	65	387/2	387/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	786				127				
