mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
47	47	281/2	281/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	805									61				
47	47	563/4	563/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	806													
48	48	141	141	0.0	0	0	Spanner	3/4	1	1	0																	
48	48	141	141	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	807									62				
48	48	285/2	285/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	808													
48	48	143	143	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	809													
48	48	575/4	575/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	810													
48	48	141	141	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	811													
48	48	143	143	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	812													
48	48	141	141	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	813													
48	48	565/4	565/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	814									63				
48	48	283/2	283/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	815									63				
48	48	567/4	567/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	816									63				
48	48	142	142	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	817									63				
48	48	569/4	569/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	818									63				
48	48	285/2	285/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	819									63				
48	48	571/4	571/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	820									63				
48	48	143	143	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	821									63				
48	48	573/4	573/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	822									63				
48	48	287/2	287/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	823									63				
48	48	575/4	575/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	824													
49	49	144	144	0.0	0	0	Spanner	3/4	1	1	0																	10
49	49	144	144	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	825													10
49	49	145	145	0.0	1/4	1/4	Spanner	3/4	1	1	0																	
49	49	145	145	0.0	1/4	1/4	Spanner	3/4	1	1	0																7	
49	49	145	145	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	826												7	
49	49	144	144	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	827												7	
49	49	145	145	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	828												7	
49	49	144	144	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	829													
49	49	577/4	577/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	830									64				
49	49	289/2	289/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	831									64				
49	49	579/4	579/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	832									64				
49	49	145	145	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	833									64				
49	49	581/4	581/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	834									64				
49	49	291/2	291/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	835									64				
49	49	583/4	583/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	836									64				
49	49	146	146	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	837									64				
49	49	585/4	585/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	838									64				
49	49	293/2	293/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	839									64				
49	49	587/4	587/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	840													
50	50	147	147	0.0	0	0	Spanner	3/4	1	1	0																	
50	50	147	147	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	841									65				
50	50	297/2	297/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	842													
50	50	149	149	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	843													
50	50	599/4	599/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	844													
50	50	147	147	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	845													
50	50	148	148	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	846													
50	50	147	147	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	847													
50	50	589/4	589/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	848									66				
50	50	295/2	295/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	849									66				
50	50	591/4	591/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	850									66				
50	50	148	148	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	851									66				
50	50	593/4	593/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	852									66				
50	50	297/2	297/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	853									66				
50	50	595/4	595/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	854									66				
50	50	149	149	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	855									66				
50	50	597/4	597/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	856									66				
50	50	299/2	299/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	857									66				
50	50	599/4	599/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	858													
51	51	150	150	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	859													
51	51	151	151	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	860													
51	51	150	150	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	861													
51	51	152	152	0.0	1/2	1/2	Spanner	3/4	1	2	0																8	
51	51	152	152	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	862												8	
51	51	305/2	305/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	863												8	
51	51	150	150	0.0	0	0	Spanner	3/4	1	3	0																8	11
51	51	150	150	2.0	0	0	Chord	3/4	1	3	1/2		1/2	1	864												8	11
51	51	152	152	0.0	1/2	1/2	Spanner	3/4	1	3	0																8	
51	51	150	150	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	865													
51	51	601/4	601/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	866									67				
51	51	301/2	301/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	867									67				
51	51	603/4	603/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	868									67				
51	51	151	151	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	869									67				
51	51	605/4	605/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	870									67				
51	51	303/2	303/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	871									67				
51	51	607/4	607/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	872									67				
51	51	152	152	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	873									67				
51	51	609/4	609/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	874									67				
51	51	305/2	305/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	875									67				
51	51	611/4	611/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	876													
52	52	153	153	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	877									68				
52	52	309/2	309/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	878													
52	52	155	155	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	879													
52	52	623/4	623/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	880													
52	52	153	153	0.0	0	0	Spanner	3/4	1	2	0																	
52	52	153	153	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	881													
52	52	307/2	307/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	882													
52	52	154	154	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	883													
52	52	153	153	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	884													
52	52	613/4	613/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	885									69				
52	52	307/2	307/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	886									69				
52	52	615/4	615/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	887									69				
52	52	154	154	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	888									69				
52	52	617/4	617/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	889									69				
52	52	309/2	309/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	890									69				
52	52	619/4	619/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	891									69				
52	52	155	155	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	892									69				
52	52	621/4	621/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	893									69				
52	52	311/2	311/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	894									69				
52	52	623/4	623/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	895													
53	53	156	156	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	896													
53	53	157	157	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	897													
53	53	156	156	0.0	0	0	Spanner	3/4	1	2	0																	12
53	53	156	156	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	898													12
53	53	158	158	0.0	1/2	1/2	Spanner	3/4	1	2	0																	
53	53	158	158	0.0	1/2	1/2	Spanner	3/4	1	2	0																9	
53	53	158	158	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	899												9	
53	53	156	156	2.0	0	0	Chord	3/4	1	3	1/2		1/2	1	900												9	
53	53	156	156	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	901													
53	53	625/4	625/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	902									70				
53	53	313/2	313/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	903									70				
53	53	627/4	627/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	904									70				
53	53	157	157	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	905									70				
53	53	629/4	629/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	906									70				
53	53	315/2	315/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	907									70				
53	53	631/4	631/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	908									70				
53	53	158	158	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	909									70				
53	53	633/4	633/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	910									70				
53	53	317/2	317/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	911									70				
53	53	635/4	635/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	912													
54	54	159	159	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	913									71				
54	54	321/2	321/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	914													
54	54	161	161	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	915													
54	54	647/4	647/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	916													
54	54	159	159	0.0	0	0	Spanner	3/4	1	2	0																	
54	54	159	159	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	917													
54	54	159	159	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	918													
54	54	637/4	637/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	919									72				
54	54	319/2	319/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	920									72				
54	54	639/4	639/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	921									72				
54	54	160	160	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	922									72				
54	54	641/4	641/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	923									72				
54	54	321/2	321/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	924									72				
54	54	643/4	643/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	925									72				
54	54	161	161	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	926									72				
54	54	645/4	645/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	927									72				
54	54	323/2	323/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	928									72				
54	54	647/4	647/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	929													
55	55	162	162	0.0	0	0	Spanner	3/4	1	1	0																	13
55	55	162	162	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	930													13
55	55	163	163	0.0	1/4	1/4	Spanner	3/4	1	1	0																	
55	55	163	163	0.0	1/4	1/4	Spanner	3/4	1	1	0														6			
55	55	163	163	0.0	1/4	1/4	Spanner	3/4	1	1	0														6		10	
55	55	163	163	1.5	1/4	1/4	Chord	3/4	1	2	3/8		1/4	3/2	931												10	
55	55	329/2	329/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	932												10	
55	55	162	162	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	933													
55	55	649/4	649/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	934									73				
55	55	325/2	325/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	935									73				
55	55	651/4	651/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	936									73				
55	55	163	163	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	937									73				
55	55	653/4	653/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	938									73				
55	55	327/2	327/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	939									73				
55	55	655/4	655/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	940									73				
55	55	164	164	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	941									73				
55	55	657/4	657/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	942									73				
55	55	329/2	329/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32		1/32	1	943									73				
55	55	1317/8	1317/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32		1/32	1	944									73				
55	55	659/4	659/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	945									73				
55	55	1319/8	1319/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	946													
56	56	165	165	0.0	0	0	Spanner	3/4	1	1	0																	
56	56	165	165	0.0	0	0	Spanner	3/4	1	1	0																	
56	56	165	165	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	947													
56	56	333/2	333/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	948													
56	56	167	167	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	949													
56	56	671/4	671/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	950													
56	56	167	167	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	951													
56	56	165	165	0.125	0	0	Chord	3/4	2	1	1/32		1/32	1	952			articStaccatoBelow										
56	56	1321/8	1321/8	0.125	1/32	1/32	Chord	3/4	2	1	1/32		1/32	1	953													
56	56	661/4	661/4	0.125	1/16	1/16	Chord	3/4	2	1	1/32		1/32	1	954													
56	56	1323/8	1323/8	0.125	3/32	3/32	Chord	3/4	2	1	1/32		1/32	1	955													
56	56	331/2	331/2	0.125	1/8	1/8	Chord	3/4	2	1	1/32		1/32	1	956			articStaccatoBelow										
56	56	1325/8	1325/8	0.125	5/32	5/32	Chord	3/4	2	1	1/32		1/32	1	957													
56	56	663/4	663/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32		1/32	1	958													
56	56	1327/8	1327/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32		1/32	1	959													
56	56	166	166	0.125	1/4	1/4	Chord	3/4	2	1	1/32		1/32	1	960													
56	56	1329/8	1329/8	0.125	9/32	9/32	Chord	3/4	2	1	1/32		1/32	1	961													
56	56	665/4	665/4	0.125	5/16	5/16	Chord	3/4	2	1	1/32		1/32	1	962													
56	56	1331/8	1331/8	0.125	11/32	11/32	Chord	3/4	2	1	1/32		1/32	1	963													
56	56	333/2	333/2	0.125	3/8	3/8	Chord	3/4	2	1	1/32		1/32	1	964													
56	56	1333/8	1333/8	0.125	13/32	13/32	Chord	3/4	2	1	1/32		1/32	1	965													
56	56	667/4	667/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	966													
56	56	1335/8	1335/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	967													
56	56	167	167	0.125	1/2	1/2	Chord	3/4	2	1	1/32		1/32	1	968													
56	56	1337/8	1337/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	969													
56	56	669/4	669/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32		1/32	1	970													
56	56	1339/8	1339/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32		1/32	1	971													
56	56	335/2	335/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32		1/32	1	972													
56	56	1341/8	1341/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32		1/32	1	973													
56	56	671/4	671/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	974													
56	56	1343/8	1343/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	975													
57	57	168	168	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	976													
57	57	169	169	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	977													
57	57	168	168	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	978													
57	57	168	168	0.125	0	0	Chord	3/4	2	1	1/32		1/32	1	979													
57	57	1345/8	1345/8	0.125	1/32	1/32	Chord	3/4	2	1	1/32		1/32	1	980													
57	57	673/4	673/4	0.125	1/16	1/16	Chord	3/4	2	1	1/32		1/32	1	981													
57	57	1347/8	1347/8	0.125	3/32	3/32	Chord	3/4	2	1	1/32		1/32	1	982													
57	57	337/2	337/2	0.125	1/8	1/8	Chord	3/4	2	1	1/32		1/32	1	983													
57	57	1349/8	1349/8	0.125	5/32	5/32	Chord	3/4	2	1	1/32		1/32	1	984													
57	57	675/4	675/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32		1/32	1	985													
57	57	1351/8	1351/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32		1/32	1	986													
57	57	169	169	0.125	1/4	1/4	Chord	3/4	2	1	1/32		1/32	1	987													
57	57	1353/8	1353/8	0.125	9/32	9/32	Chord	3/4	2	1	1/32		1/32	1	988													
57	57	677/4	677/4	0.125	5/16	5/16	Chord	3/4	2	1	1/32		1/32	1	989													
57	57	1355/8	1355/8	0.125	11/32	11/32	Chord	3/4	2	1	1/32		1/32	1	990													
57	57	339/2	339/2	0.125	3/8	3/8	Chord	3/4	2	1	1/32		1/32	1	991													
57	57	1357/8	1357/8	0.125	13/32	13/32	Chord	3/4	2	1	1/32		1/32	1	992													
57	57	679/4	679/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	993													
57	57	1359/8	1359/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	994													
57	57	170	170	0.125	1/2	1/2	Chord	3/4	2	1	1/32		1/32	1	995													
57	57	1361/8	1361/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	996													
57	57	681/4	681/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32		1/32	1	997													
57	57	1363/8	1363/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32		1/32	1	998													
57	57	341/2	341/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32		1/32	1	999													
57	57	1365/8	1365/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32		1/32	1	1000													
57	57	683/4	683/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	1001													
57	57	1367/8	1367/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	1002													
58	58	171	171	0.0	0	0	Spanner	3/4	1	1	0																	14
58	58	171	171	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	1003									74				14
58	58	345/2	345/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1004													14
58	58	173	173	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1005			articStaccatoBelow						75				14
58	58	347/2	347/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1006			articStaccatoBelow										14
58	58	171	171	0.125	0	0	Chord	3/4	2	1	1/32		1/32	1	1007													
58	58	1369/8	1369/8	0.125	1/32	1/32	Chord	3/4	2	1	1/32		1/32	1	1008													
58	58	685/4	685/4	0.125	1/16	1/16	Chord	3/4	2	1	1/32		1/32	1	1009													
58	58	1371/8	1371/8	0.125	3/32	3/32	Chord	3/4	2	1	1/32		1/32	1	1010													
58	58	343/2	343/2	0.125	1/8	1/8	Chord	3/4	2	1	1/32		1/32	1	1011													
58	58	1373/8	1373/8	0.125	5/32	5/32	Chord	3/4	2	1	1/32		1/32	1	1012													
58	58	687/4	687/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32		1/32	1	1013													
58	58	1375/8	1375/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32		1/32	1	1014													
58	58	172	172	0.125	1/4	1/4	Chord	3/4	2	1	1/32		1/32	1	1015													
58	58	1377/8	1377/8	0.125	9/32	9/32	Chord	3/4	2	1	1/32		1/32	1	1016													
58	58	689/4	689/4	0.125	5/16	5/16	Chord	3/4	2	1	1/32		1/32	1	1017													
58	58	1379/8	1379/8	0.125	11/32	11/32	Chord	3/4	2	1	1/32		1/32	1	1018													
58	58	345/2	345/2	0.125	3/8	3/8	Chord	3/4	2	1	1/32		1/32	1	1019													
58	58	1381/8	1381/8	0.125	13/32	13/32	Chord	3/4	2	1	1/32		1/32	1	1020													
58	58	691/4	691/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	1021													
58	58	1383/8	1383/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	1022													
58	58	173	173	0.125	1/2	1/2	Chord	3/4	2	1	1/32		1/32	1	1023													
58	58	1385/8	1385/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	1024													
58	58	693/4	693/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32		1/32	1	1025													
58	58	1387/8	1387/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32		1/32	1	1026													
58	58	347/2	347/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32		1/32	1	1027													
58	58	1389/8	1389/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32		1/32	1	1028													
58	58	695/4	695/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	1029													
58	58	1391/8	1391/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	1030													
59	59	174	174	0.0	0	0	Spanner	3/4	1	1	0																	
59	59	174	174	0.0	0	0	Spanner	3/4	1	1	0																11	
59	59	174	174	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1031									76			11	
59	59	349/2	349/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1032												11	
59	59	175	175	0.0	1/4	1/4	Spanner	3/4	1	1	0														7		11	
59	59	175	175	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	1033										7		11	
59	59	353/2	353/2	0.0	5/8	5/8	Spanner	3/4	1	1	0																11	
59	59	353/2	353/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	1034												11	
59	59	707/4	707/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	1035												11	
59	59	174	174	0.125	0	0	Chord	3/4	2	1	1/32		1/32	1	1036													
59	59	1393/8	1393/8	0.125	1/32	1/32	Chord	3/4	2	1	1/32		1/32	1	1037													
59	59	697/4	697/4	0.125	1/16	1/16	Chord	3/4	2	1	1/32		1/32	1	1038													
59	59	1395/8	1395/8	0.125	3/32	3/32	Chord	3/4	2	1	1/32		1/32	1	1039													
59	59	349/2	349/2	0.125	1/8	1/8	Chord	3/4	2	1	1/32		1/32	1	1040													
59	59	1397/8	1397/8	0.125	5/32	5/32	Chord	3/4	2	1	1/32		1/32	1	1041													
59	59	699/4	699/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32		1/32	1	1042													
59	59	1399/8	1399/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32		1/32	1	1043													
59	59	175	175	0.125	1/4	1/4	Chord	3/4	2	1	1/32		1/32	1	1044													
59	59	1401/8	1401/8	0.125	9/32	9/32	Chord	3/4	2	1	1/32		1/32	1	1045													
59	59	701/4	701/4	0.125	5/16	5/16	Chord	3/4	2	1	1/32		1/32	1	1046													
59	59	1403/8	1403/8	0.125	11/32	11/32	Chord	3/4	2	1	1/32		1/32	1	1047													
59	59	351/2	351/2	0.125	3/8	3/8	Chord	3/4	2	1	1/32		1/32	1	1048													
59	59	1405/8	1405/8	0.125	13/32	13/32	Chord	3/4	2	1	1/32		1/32	1	1049													
59	59	703/4	703/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	1050													
59	59	1407/8	1407/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	1051													
59	59	176	176	0.125	1/2	1/2	Chord	3/4	2	1	1/32		1/32	1	1052													
59	59	1409/8	1409/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	1053													
59	59	705/4	705/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32		1/32	1	1054													
59	59	1411/8	1411/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32		1/32	1	1055													
59	59	353/2	353/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32		1/32	1	1056													
59	59	1413/8	1413/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32		1/32	1	1057													
59	59	707/4	707/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	1058													
59	59	1415/8	1415/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	1059													
60	60	177	177	0.0	0	0	Spanner	3/4	1	1	0																	
60	60	177	177	0.125	0	0	Chord	3/4	1	1	1/32		1/32	1	1060													
60	60	1417/8	1417/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32		1/32	1	1061													
60	60	709/4	709/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32		1/32	1	1062													
60	60	1419/8	1419/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32		1/32	1	1063													
60	60	355/2	355/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																	15
60	60	355/2	355/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	1064													15
60	60	1421/8	1421/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32		1/32	1	1065													15
60	60	711/4	711/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	1066													15
60	60	1423/8	1423/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	1067													15
