mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_hairpin
79	74	1351/6	689/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	512					
79	74	451/2	230	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	513					
79	74	1355/6	691/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	514					
79	74	1357/6	692/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	515					
79	74	447/2	228	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	516					
79	74	449/2	229	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	517					
79	74	451/2	230	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	518					
80	75	453/2	231	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	519					
80	75	1361/6	694/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	520					
80	75	1363/6	695/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	521					
80	75	455/2	232	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	522					
80	75	1367/6	697/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	523					
80	75	1369/6	698/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	524					
80	75	457/2	233	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	525					
80	75	1373/6	700/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	526					
80	75	1375/6	701/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	527					
80	75	453/2	231	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	528					
81	76	459/2	234	0.0		0	0	Spanner	3/4	1	1	0								1
81	76	459/2	234	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	529					1
81	76	1379/6	703/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	530					1
81	76	1381/6	704/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	531					1
81	76	461/2	235	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	532					1
81	76	1385/6	706/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	533					1
81	76	1387/6	707/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	534					1
81	76	463/2	236	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf			
81	76	463/2	236	0.0		1/2	1/2	Spanner	3/4	1	1	0								
81	76	463/2	236	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	535			articStaccatoAbove		
81	76	1391/6	709/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	536					
81	76	1393/6	710/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	537					
81	76	459/2	234	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	538					
82	77	465/2	237	0.0		0	0	Dynamic	3/4	1	1	0					sf			
82	77	465/2	237	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	539			articStaccatoAbove		
82	77	1397/6	712/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	540					
82	77	1399/6	713/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	541					
82	77	467/2	238	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	542					
82	77	1403/6	715/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	543					
82	77	1405/6	716/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	544					
82	77	469/2	239	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	545					
82	77	1409/6	718/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	546					
82	77	1411/6	719/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	547					
82	77	465/2	237	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	548					
83	78	471/2	240	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	549					
83	78	1415/6	721/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	550					
83	78	1417/6	722/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	551					
83	78	473/2	241	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	552					
83	78	1421/6	724/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	553					
83	78	1423/6	725/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	554					
83	78	475/2	242	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	555					
83	78	1427/6	727/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	556					
83	78	1429/6	728/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	557					
83	78	471/2	240	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	558					
83	78	473/2	241	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	559					
83	78	475/2	242	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	560					
84	79	477/2	243	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	561					
84	79	1433/6	730/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	562					
84	79	1435/6	731/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	563					
84	79	479/2	244	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	564					
84	79	1439/6	733/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	565					
84	79	1441/6	734/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	566					
84	79	481/2	245	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	567					
84	79	1445/6	736/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	568					
84	79	1447/6	737/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	569					
84	79	477/2	243	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	570					
85	80	483/2	246	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	571					
85	80	1451/6	739/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	572					
85	80	1453/6	740/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	573					
85	80	485/2	247	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	574					
85	80	1457/6	742/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	575					
85	80	1459/6	743/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	576					
85	80	487/2	248	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf			
85	80	487/2	248	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	577			articStaccatoAbove		
85	80	1463/6	745/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	578					
85	80	1465/6	746/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	579					
85	80	483/2	246	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	580					
86	81	489/2	249	0.0		0	0	Dynamic	3/4	1	1	0					sf			
86	81	489/2	249	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	581			articStaccatoAbove		
86	81	1469/6	748/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	582					
86	81	1471/6	749/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	583					
86	81	491/2	250	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	584					
86	81	1475/6	751/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	585					
86	81	1477/6	752/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	586					
86	81	493/2	251	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	587					
86	81	1481/6	754/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	588					
86	81	1483/6	755/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	589					
86	81	489/2	249	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	590					
87	82	495/2	252	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	591					
87	82	1487/6	757/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	592					
87	82	1489/6	758/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	593					
87	82	497/2	253	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	594					
87	82	1493/6	760/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	595					
87	82	1495/6	761/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	596					
87	82	499/2	254	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf			
87	82	499/2	254	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	597			articStaccatoAbove		
87	82	1499/6	763/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	598					
87	82	1501/6	764/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	599					
87	82	495/2	252	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	600					
88	83	501/2	255	0.0		0	0	Dynamic	3/4	1	1	0					sf			
88	83	501/2	255	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	601			articStaccatoAbove		
88	83	1505/6	766/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	602					
88	83	1507/6	767/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	603					
88	83	503/2	256	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	604					
88	83	1511/6	769/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	605					
88	83	1513/6	770/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	606					
88	83	505/2	257	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	607					
88	83	1517/6	772/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	608					
88	83	1519/6	773/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	609					
88	83	501/2	255	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	610					
89	84	507/2	258	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	611					
89	84	1523/6	775/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	612					
89	84	1525/6	776/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	613					
89	84	509/2	259	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	614					
89	84	1529/6	778/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	615					
89	84	1531/6	779/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	616					
89	84	511/2	260	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	617					
89	84	1535/6	781/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	618					
89	84	1537/6	782/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	619					
89	84	507/2	258	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	620					
90	85	513/2	261	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	621					
90	85	1541/6	784/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	622					
90	85	1543/6	785/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	623					
90	85	515/2	262	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	624					
90	85	1547/6	787/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	625					
90	85	1549/6	788/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	626					
90	85	517/2	263	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	627					
90	85	1553/6	790/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	628					
90	85	1555/6	791/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	629					
90	85	513/2	261	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	630					
91	86	519/2	264	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	631					
91	86	1559/6	793/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	632					
91	86	1561/6	794/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	633					
91	86	521/2	265	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	634					
91	86	1565/6	796/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	635					
91	86	1567/6	797/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	636					
91	86	523/2	266	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	637					
91	86	1571/6	799/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	638					
91	86	1573/6	800/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	639					
91	86	519/2	264	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	640					
91	86	523/2	266	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	641					
92	87	525/2	267	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	642					
92	87	525/2	267	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	643					
92	87	529/2	269	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	644					
92	87	527/2	268	1.0		1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	645					
93	88	531/2	270	0.0		0	0	Spanner	3/4	1	1	0								2
93	88	531/2	270	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	646					2
93	88	1595/6	811/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	647					2
93	88	1597/6	812/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	648					2
93	88	533/2	271	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	649					2
93	88	1601/6	814/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	650					2
93	88	1603/6	815/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	651					2
93	88	535/2	272	0.0		1/2	1/2	Spanner	3/4	1	1	0								
93	88	535/2	272	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	652			articStaccatoAbove		
93	88	1607/6	817/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	653					
93	88	1609/6	818/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	654					
93	88	531/2	270	0.0		0	0	Dynamic	3/4	2	1	0					sf			
93	88	531/2	270	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	655					
94	89	537/2	273	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	656			articStaccatoAbove		
94	89	1613/6	820/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	657					
94	89	1615/6	821/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	658					
94	89	539/2	274	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	659					
94	89	1619/6	823/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	660					
94	89	1621/6	824/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	661					
94	89	541/2	275	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	662					
94	89	1625/6	826/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	663					
94	89	1627/6	827/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	664					
94	89	537/2	273	0.0		0	0	Dynamic	3/4	2	1	0					sf			
94	89	537/2	273	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	665					
95	90	543/2	276	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	666					
95	90	1631/6	829/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	667					
95	90	1633/6	830/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	668					
95	90	545/2	277	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	669					
95	90	1637/6	832/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	670					
95	90	1639/6	833/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	671					
95	90	547/2	278	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	672					
95	90	1643/6	835/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	673					
95	90	1645/6	836/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	674					
95	90	543/2	276	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	675					
95	90	545/2	277	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	676					
95	90	547/2	278	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	677					
96	91	549/2	279	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	678					
96	91	1649/6	838/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	679					
96	91	1651/6	839/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	680					
96	91	551/2	280	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	681					
96	91	1655/6	841/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	682					
96	91	1657/6	842/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	683					
96	91	553/2	281	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	684					
96	91	1661/6	844/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	685					
96	91	1663/6	845/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	686					
96	91	549/2	279	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	687					
97	92	555/2	282	0.0		0	0	Spanner	3/4	1	1	0								3
97	92	555/2	282	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	688					3
97	92	1667/6	847/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	689					3
97	92	1669/6	848/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	690					3
97	92	557/2	283	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	691					3
97	92	1673/6	850/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	692					3
97	92	1675/6	851/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	693					3
97	92	559/2	284	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf			
97	92	559/2	284	0.0		1/2	1/2	Spanner	3/4	1	1	0								
97	92	559/2	284	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	694			articStaccatoAbove		
97	92	1679/6	853/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	695					
97	92	1681/6	854/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	696					
97	92	555/2	282	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	697					
98	93	561/2	285	0.0		0	0	Dynamic	3/4	1	1	0					sf			
98	93	561/2	285	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	698			articStaccatoAbove		
98	93	1685/6	856/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	699					
98	93	1687/6	857/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	700					
98	93	563/2	286	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	701					
98	93	1691/6	859/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	702					
98	93	1693/6	860/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	703					
98	93	565/2	287	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	704					
98	93	1697/6	862/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	705					
98	93	1699/6	863/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	706					
98	93	561/2	285	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	707					
99	94	567/2	288	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	708					
99	94	1703/6	865/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	709					
99	94	1705/6	866/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	710					
99	94	569/2	289	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	711					
99	94	1709/6	868/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	712					
99	94	1711/6	869/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	713					
99	94	571/2	290	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	714					
99	94	1715/6	871/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	715					
99	94	1717/6	872/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	716					
99	94	567/2	288	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	717					
99	94	569/2	289	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	718					
99	94	571/2	290	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	719					
100	95	573/2	291	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	720					
100	95	1721/6	874/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	721					
100	95	1723/6	875/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	722					
100	95	575/2	292	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	723					
100	95	1727/6	877/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	724					
100	95	1729/6	878/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	725					
100	95	577/2	293	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	726					
100	95	1733/6	880/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	727					
100	95	1735/6	881/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	728					
100	95	573/2	291	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	729					
101	96	579/2	294	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	730					
101	96	1739/6	883/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	731					
101	96	1741/6	884/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	732					
101	96	581/2	295	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	733					
101	96	1745/6	886/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	734					
101	96	1747/6	887/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	735					
101	96	583/2	296	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf			
101	96	583/2	296	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	736			articStaccatoAbove		
101	96	1751/6	889/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	737					
101	96	1753/6	890/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	738					
101	96	579/2	294	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	739					
102	97	585/2	297	0.0		0	0	Dynamic	3/4	1	1	0					sf			
102	97	585/2	297	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	740			articStaccatoAbove		
102	97	1757/6	892/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	741					
102	97	1759/6	893/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	742					
102	97	587/2	298	0.3333333333333333		1/4	1/4	Chord	3/4	1	1	1/12	1/8	2/3	743					
102	97	1763/6	895/3	0.3333333333333333		1/3	1/3	Chord	3/4	1	1	1/12	1/8	2/3	744					
102	97	1765/6	896/3	0.3333333333333333		5/12	5/12	Chord	3/4	1	1	1/12	1/8	2/3	745					
102	97	589/2	299	0.3333333333333333		1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	746					
102	97	1769/6	898/3	0.3333333333333333		7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	747					
102	97	1771/6	899/3	0.3333333333333333		2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	748					
102	97	585/2	297	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	749					
103	98	591/2	300	0.3333333333333333		0	0	Chord	3/4	1	1	1/12	1/8	2/3	750					
103	98	1775/6	901/3	0.3333333333333333		1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	751					
103	98	1777/6	902/3	0.3333333333333333		1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	752					
