mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	diminuendo_line	crescendo_line	crescendo_hairpin
195	194	583/2	583/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1737				244				
195	194	1161/4	1161/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1738				245				
195	194	581/2	581/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1739				245				
195	194	1163/4	1163/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	1740								
195	194	1161/4	1161/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	1741								
196	195	1167/4	1167/4	0.0	0	0	Dynamic	3/8	1	1	0					sf						
196	195	1167/4	1167/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1742			articStaccatoAbove					
196	195	585/2	585/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1743				246				
196	195	1171/4	1171/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1744				246				
196	195	293	293	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1745				246				
196	195	1167/4	1167/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1746				247				
196	195	292	292	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1747				247				
196	195	1169/4	1169/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	1748								
196	195	1167/4	1167/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	1749								
197	196	1173/4	1173/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1750			articStaccatoAbove					
197	196	294	294	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1751				248				
197	196	1177/4	1177/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1752				248				
197	196	589/2	589/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1753				248				
197	196	1173/4	1173/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1754				249				
197	196	587/2	587/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1755				249				
197	196	1175/4	1175/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	1756								
197	196	1173/4	1173/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	1757								
198	197	1179/4	1179/4	0.0	0	0	Dynamic	3/8	1	1	0					sf						
198	197	1179/4	1179/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1758			articStaccatoAbove					
198	197	591/2	591/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1759				250				
198	197	1183/4	1183/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1760				250				
198	197	296	296	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1761				250				
198	197	1179/4	1179/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1762				251				
198	197	295	295	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1763				251				
198	197	1181/4	1181/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	1764								
198	197	1179/4	1179/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	1765								
199	198	1185/4	1185/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1766			articStaccatoAbove					
199	198	297	297	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1767				252				
199	198	1189/4	1189/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1768				252				
199	198	595/2	595/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1769								
199	198	1185/4	1185/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1770				253				
199	198	593/2	593/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1771				253				
199	198	1187/4	1187/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	1772								
199	198	1185/4	1185/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	1773								
200	199	1191/4	1191/4	0.0	0	0	Dynamic	3/8	1	1	0					f						
200	199	1191/4	1191/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	1774	f							
200	199	298	298	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1775								
200	199	1193/4	1193/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1776								
200	199	597/2	597/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1777								
200	199	1195/4	1195/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1778								
200	199	299	299	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1779								
200	199	1191/4	1191/4	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	1780								
201	200	1197/4	1197/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	1781								
201	200	599/2	599/2	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1782								
201	200	1199/4	1199/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1783								
201	200	300	300	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1784								
201	200	1201/4	1201/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1785								
201	200	601/2	601/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1786								
202	201	1203/4	1203/4	0.0	0	0	Dynamic	3/8	1	1	0					sf						
202	201	1203/4	1203/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	1787								
202	201	301	301	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1788								
202	201	1205/4	1205/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1789								
202	201	603/2	603/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1790								
202	201	1207/4	1207/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1791								
202	201	302	302	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1792								
203	202	1209/4	1209/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	1793								
203	202	605/2	605/2	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1794								
203	202	1211/4	1211/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1795								
203	202	303	303	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1796								
203	202	1213/4	1213/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1797								
203	202	607/2	607/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1798								
204	203	1215/4	1215/4	0.0	0	0	Dynamic	3/8	1	1	0					sf						
204	203	1215/4	1215/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	1799								
204	203	304	304	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1800								
204	203	1217/4	1217/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1801								
204	203	609/2	609/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1802								
204	203	1219/4	1219/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1803								
204	203	305	305	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1804								
205	204	1221/4	1221/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	1805								
205	204	611/2	611/2	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1806								
205	204	1223/4	1223/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1807								
205	204	306	306	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1808								
205	204	1225/4	1225/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1809								
205	204	613/2	613/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1810								
206	205	1227/4	1227/4	0.0	0	0	Dynamic	3/8	1	1	0					sf						
206	205	1227/4	1227/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	1811								
206	205	307	307	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1812								
206	205	1229/4	1229/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1813								
206	205	615/2	615/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1814								
206	205	1231/4	1231/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1815								
206	205	308	308	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1816								
207	206	1233/4	1233/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	1817								
207	206	617/2	617/2	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1818								
207	206	1235/4	1235/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1819								
207	206	309	309	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1820								
207	206	1237/4	1237/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1821								
207	206	619/2	619/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1822								
208	207	1239/4	1239/4	0.0	0	0	Dynamic	3/8	1	1	0					sf						
208	207	1239/4	1239/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	1823								
208	207	310	310	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1824								
208	207	1241/4	1241/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1825								
208	207	621/2	621/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1826								
208	207	1243/4	1243/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1827								
208	207	311	311	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1828								
209	208	1245/4	1245/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	1829								
209	208	623/2	623/2	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1830								
209	208	1247/4	1247/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1831								
209	208	312	312	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1832								
209	208	1249/4	1249/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1833								
209	208	625/2	625/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1834								
210	209	1251/4	1251/4	0.0	0	0	Dynamic	3/8	1	1	0					p						
210	209	1251/4	1251/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	1835	>							
210	209	313	313	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1836								
210	209	1253/4	1253/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1837								
210	209	627/2	627/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1838								
210	209	1255/4	1255/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1839								
210	209	314	314	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1840								
211	210	1257/4	1257/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	1841								
211	210	629/2	629/2	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1842								
211	210	1259/4	1259/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1843								
211	210	315	315	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1844								
211	210	1261/4	1261/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1845								
211	210	631/2	631/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1846								
212	211	1263/4	1263/4	0.0	0	0	Dynamic	3/8	1	1	0					p						
212	211	1263/4	1263/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	1847	p			254				
212	211	316	316	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1848				254				
212	211	1265/4	1265/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1849				254				
212	211	633/2	633/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1850				254				
212	211	1267/4	1267/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1851				254				
212	211	317	317	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1852				254				
213	212	1269/4	1269/4	0.0	0	0	Spanner	3/8	1	1	0							254		3		
213	212	1269/4	1269/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	1853	>			254		3		
213	212	635/2	635/2	0.0	1/16	1/16	Spanner	3/8	1	1	0							254				
213	212	635/2	635/2	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1854				254				
213	212	1271/4	1271/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1855				254				
213	212	318	318	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1856				254				
213	212	1273/4	1273/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1857				254				
213	212	637/2	637/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1858				254				
214	213	1275/4	1275/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	1859				254				
214	213	319	319	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1860				254				
214	213	1277/4	1277/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1861				254				
214	213	639/2	639/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1862	pp			254				
214	213	1279/4	1279/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1863				254				
214	213	320	320	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1864				254				
214	213	1275/4	1275/4	0.0	0	0	Dynamic	3/8	2	1	0					pp						
215	214	1281/4	1281/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	1865				254				
215	214	641/2	641/2	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	1866				254				
215	214	1283/4	1283/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	1867				254				
215	214	321	321	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1868				254				
215	214	1285/4	1285/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1869				254				
215	214	643/2	643/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1870				254				
216	215	1287/4	1287/4	0.0	0	0	Dynamic	3/8	1	1	0					p						
216	215	1287/4	1287/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1871	p							
216	215	645/2	645/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1872				255				
216	215	1291/4	1291/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1873				255				
216	215	323	323	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1874				255				
216	215	1287/4	1287/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1875								
216	215	322	322	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1876								
216	215	1289/4	1289/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	1877								
216	215	645/2	645/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1878								
216	215	1291/4	1291/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	1879								
216	215	1287/4	1287/4	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	1880								
216	215	322	322	0.75	1/16	1/16	Chord	3/8	2	2	3/16	1/8	3/2	1881								
217	216	1293/4	1293/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1882			articStaccatoAbove					
217	216	324	324	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1883				256				
217	216	1297/4	1297/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1884				256				
217	216	649/2	649/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1885				256				
217	216	1293/4	1293/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1886								
217	216	647/2	647/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1887								
217	216	1295/4	1295/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	1888								
217	216	324	324	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1889								
217	216	1297/4	1297/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	1890								
217	216	1293/4	1293/4	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	1891								
217	216	647/2	647/2	0.75	1/16	1/16	Chord	3/8	2	2	3/16	1/8	3/2	1892								
218	217	1299/4	1299/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1893			articStaccatoAbove					
218	217	651/2	651/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1894				257				
218	217	1303/4	1303/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1895				257				
218	217	326	326	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1896				257				
218	217	1299/4	1299/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1897								
218	217	325	325	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1898								
218	217	1301/4	1301/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	1899								
218	217	651/2	651/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1900								
218	217	1303/4	1303/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	1901								
218	217	1299/4	1299/4	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	1902								
218	217	325	325	0.75	1/16	1/16	Chord	3/8	2	2	3/16	1/8	3/2	1903								
219	218	1305/4	1305/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1904			articStaccatoAbove					
219	218	327	327	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1905				258				
219	218	1309/4	1309/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1906				258				
219	218	655/2	655/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1907				258				
219	218	1305/4	1305/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1908								
219	218	653/2	653/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1909								
219	218	1307/4	1307/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	1910								
219	218	327	327	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1911								
219	218	1309/4	1309/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	1912								
219	218	1305/4	1305/4	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	1913								
219	218	653/2	653/2	0.75	1/16	1/16	Chord	3/8	2	2	3/16	1/8	3/2	1914								
220	219	1311/4	1311/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1915			articStaccatoAbove					
220	219	657/2	657/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1916				259				
220	219	1315/4	1315/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1917				259				
220	219	329	329	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1918				259				
220	219	1311/4	1311/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1919								
220	219	328	328	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1920								
220	219	1313/4	1313/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	1921								
220	219	657/2	657/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1922								
220	219	1315/4	1315/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	1923								
220	219	1311/4	1311/4	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	1924								
220	219	328	328	0.75	1/16	1/16	Chord	3/8	2	2	3/16	1/8	3/2	1925								
221	220	1317/4	1317/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1926			articStaccatoAbove					
221	220	330	330	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1927				260				
221	220	1321/4	1321/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1928				260				
221	220	661/2	661/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1929				260				
221	220	1317/4	1317/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1930								
221	220	659/2	659/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1931								
221	220	1319/4	1319/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	1932								
221	220	330	330	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1933								
221	220	1321/4	1321/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	1934								
221	220	1317/4	1317/4	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	1935								
221	220	659/2	659/2	0.75	1/16	1/16	Chord	3/8	2	2	3/16	1/8	3/2	1936								
222	221	1323/4	1323/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1937			articStaccatoAbove					
222	221	663/2	663/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1938				261				
222	221	1327/4	1327/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1939				261				
222	221	332	332	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1940				261				
222	221	1323/4	1323/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1941								
222	221	331	331	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1942								
222	221	1325/4	1325/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	1943								
222	221	663/2	663/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1944								
222	221	1327/4	1327/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	1945								
222	221	1323/4	1323/4	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	1946								
222	221	331	331	0.75	1/16	1/16	Chord	3/8	2	2	3/16	1/8	3/2	1947								
223	222	1329/4	1329/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1948			articStaccatoAbove					
223	222	1331/4	1331/4	0.0	1/8	1/8	Spanner	3/8	1	1	0										11	
223	222	333	333	0.0	3/16	3/16	Spanner	3/8	1	1	0											
223	222	333	333	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1949				262				
223	222	1333/4	1333/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1950				262				
223	222	667/2	667/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1951				262				
223	222	1329/4	1329/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1952								
223	222	665/2	665/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1953								
223	222	1331/4	1331/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	1954								
223	222	333	333	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	1955								
223	222	1333/4	1333/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	1956								
223	222	1329/4	1329/4	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	1957								
223	222	665/2	665/2	0.75	1/16	1/16	Chord	3/8	2	2	3/16	1/8	3/2	1958								
224	223	1335/4	1335/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1959			articStaccatoAbove					
224	223	669/2	669/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1960				263				
224	223	1339/4	1339/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1961				263				
224	223	335	335	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1962				263				
224	223	1335/4	1335/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1963				264				
224	223	334	334	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1964				264				
224	223	1337/4	1337/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	1965								
224	223	1335/4	1335/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	1966								
225	224	1341/4	1341/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1967			articStaccatoAbove					
225	224	336	336	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1968				265				
225	224	1345/4	1345/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1969				265				
225	224	673/2	673/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1970				265				
225	224	1341/4	1341/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1971				266				
225	224	671/2	671/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1972				266				
225	224	1343/4	1343/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	1973								
225	224	1341/4	1341/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	1974								
226	225	1347/4	1347/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1975			articStaccatoAbove					
226	225	1349/4	1349/4	0.0	1/8	1/8	Spanner	3/8	1	1	0									4		
226	225	675/2	675/2	0.0	3/16	3/16	Spanner	3/8	1	1	0											
226	225	675/2	675/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1976				267				
226	225	1351/4	1351/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1977				267				
226	225	338	338	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1978				267				
226	225	1347/4	1347/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1979				268				
226	225	337	337	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1980				268				
226	225	1349/4	1349/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	1981								
226	225	1347/4	1347/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	1982								
227	226	1353/4	1353/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1983			articStaccatoAbove					
227	226	339	339	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1984				269				
227	226	1357/4	1357/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1985				269				
227	226	679/2	679/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1986				269				
227	226	1353/4	1353/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	1987				270				
227	226	677/2	677/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	1988				270				
227	226	1355/4	1355/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	1989								
227	226	1353/4	1353/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	1990								
228	227	1359/4	1359/4	0.0	0	0	Dynamic	3/8	1	1	0					p						
228	227	1359/4	1359/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1991	p		articStaccatoAbove					
228	227	681/2	681/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	1992				271				
228	227	1363/4	1363/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	1993				271				
228	227	341	341	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	1994				271				
