mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin	Trill:trill
130	130	777/2	777/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	1263			articStaccatoAbove								
130	130	389	389	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	1264			articStaccatoAbove								
130	130	779/2	779/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	1265			articStaccatoAbove								
131	131	390	390	0.0	0	0	Dynamic	3/4	1	1	0						p									
131	131	390	390	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	1266	p										
131	131	785/2	785/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1267							131				
131	131	781/2	781/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1268			articStaccatoAbove								
131	131	391	391	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	1269			articStaccatoAbove								
131	131	783/2	783/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	1270			articStaccatoAbove								
131	131	392	392	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	1271			articStaccatoAbove								
132	132	393	393	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1272							131				
132	132	787/2	787/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1273							131				
132	132	394	394	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1274											
132	132	789/2	789/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	1275							132				
132	132	395	395	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	1276							132				
132	132	791/2	791/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	1277							132				
133	133	793/2	793/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1278							133				
133	133	397	397	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1279							133				
133	133	795/2	795/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1280							133				
133	133	398	398	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1281											
133	133	396	396	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	1282											
133	133	797/2	797/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	1283							134				
134	134	801/2	801/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1284							135				
134	134	401	401	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1285							135				
134	134	803/2	803/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1286							135				
134	134	399	399	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	1287							134				
134	134	799/2	799/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1288							134				
134	134	400	400	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	1289							134				
134	134	801/2	801/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	1290							134				
134	134	401	401	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	1291							134				
134	134	803/2	803/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	1292							134				
135	135	402	402	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1293	<						135				
135	135	805/2	805/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1294							135				
135	135	403	403	0.0	1/4	1/4	Spanner	3/4	1	1	0											135		7		
135	135	403	403	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1295							135		7		
135	135	807/2	807/2	0.0	3/8	3/8	Spanner	3/4	1	1	0											135				
135	135	807/2	807/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1296							135				
135	135	404	404	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1297							135				
135	135	809/2	809/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1298							135				
135	135	402	402	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	1299							134				
135	135	805/2	805/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1300							134				
135	135	403	403	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	1301							134				
135	135	807/2	807/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	1302							134				
135	135	404	404	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	1303							134				
135	135	809/2	809/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	1304							134				
136	136	405	405	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1305	<						135				
136	136	811/2	811/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1306							135				
136	136	406	406	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1307							135				
136	136	813/2	813/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1308							135				
136	136	407	407	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1309							135				
136	136	815/2	815/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1310							135				
136	136	813/2	813/2	1.5	3/8	3/8	Chord	3/4	1	2	3/8		1/4	3/2	1311											
136	136	407	407	1.0	1/2	1/2	Chord	3/4	1	3	1/4		1/4	1	1312											
136	136	815/2	815/2	0.5	5/8	5/8	Chord	3/4	1	4	1/8		1/8	1	1313											
136	136	405	405	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	1314							134				
136	136	811/2	811/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1315							134				
136	136	406	406	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	1316							134				
136	136	813/2	813/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	1317							134				
136	136	407	407	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	1318							134				
136	136	815/2	815/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	1319							134				
136	136	813/2	813/2	1.5	3/8	3/8	Chord	3/4	2	2	3/8		1/4	3/2	1320											
136	136	407	407	1.0	1/2	1/2	Chord	3/4	2	3	1/4		1/4	1	1321											
136	136	815/2	815/2	0.5	5/8	5/8	Chord	3/4	2	4	1/8		1/8	1	1322											
137	137	408	408	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	1323											
137	137	1635/4	1635/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	1324											
137	137	409	409	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1325											
137	137	408	408	0.0	0	0	Dynamic	3/4	1	2	0						p									
137	137	408	408	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	1326	>										
137	137	408	408	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	1327											
138	138	411	411	0.0	0	0	Spanner	3/4	1	1	0												5			
138	138	411	411	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	1328	>						136	5			
138	138	1647/4	1647/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	1329								5			
138	138	412	412	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1330								5			
138	138	411	411	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	1331							137				
138	138	1647/4	1647/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	1332											
138	138	412	412	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1333											
139	139	414	414	0.0	0	0	Spanner	3/4	1	1	0															
139	139	414	414	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	1334			articStaccatoBelow				138				
139	139	415	415	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1335			articStaccatoBelow				138				
139	139	416	416	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1336			articStaccatoBelow								
139	139	414	414	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	1337			articStaccatoBelow				139				
139	139	415	415	0.0	1/4	1/4	Dynamic	3/4	2	1	0						other-dynamics					139				
139	139	415	415	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1338			articStaccatoBelow				139				
139	139	416	416	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1339			articStaccatoBelow								
140	140	417	417	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	1340	<										
140	140	417	417	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	1341											
141	141	420	420	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	1342			articStaccatoBelow				140				
141	141	421	421	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1343			articStaccatoBelow				140				
141	141	422	422	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1344			articStaccatoBelow								
141	141	420	420	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	1345			articStaccatoAbove				141				
141	141	421	421	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1346			articStaccatoAbove				141				
141	141	422	422	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1347			articStaccatoAbove								
142	142	423	423	0.0	0	0	Dynamic	3/4	1	1	0						sf									
142	142	423	423	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	1348											
142	142	423	423	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	1349											
143	143	426	426	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1350							142				
143	143	853/2	853/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1351											
143	143	427	427	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	1352							143				
143	143	1709/4	1709/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	1353							143				
143	143	855/2	855/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	1354							143				
143	143	1711/4	1711/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	1355											
143	143	428	428	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1356							144				
143	143	857/2	857/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1357											
143	143	426	426	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	1358	p										
143	143	427	427	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	1359											
143	143	428	428	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	1360											
143	143	426	426	0.0	0	0	Dynamic	3/4	2	1	0						p									
143	143	426	426	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	1361											
143	143	427	427	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1362											
143	143	428	428	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1363											
144	144	429	429	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	1364											
144	144	1717/4	1717/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	1365											
144	144	859/2	859/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	1366											
144	144	1719/4	1719/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	1367											
144	144	430	430	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	1368			articStaccatoBelow								
144	144	1291/3	1291/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	1369			articStaccatoBelow								
144	144	1292/3	1292/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	1370			articStaccatoBelow								
144	144	431	431	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	1371			articStaccatoBelow								
144	144	1294/3	1294/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	1372			articStaccatoBelow								
144	144	1295/3	1295/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	1373			articStaccatoBelow								
144	144	429	429	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	1374											
145	145	432	432	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	1375			articStaccatoAbove								
145	145	1297/3	1297/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	1376			articStaccatoAbove								
145	145	1298/3	1298/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	1377			articStaccatoAbove								
145	145	433	433	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	1378			articStaccatoAbove								
145	145	1300/3	1300/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	1379			articStaccatoAbove								
145	145	1301/3	1301/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	1380			articStaccatoAbove								
145	145	434	434	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	1381			articStaccatoAbove								
145	145	1303/3	1303/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	1382			articStaccatoAbove								
145	145	1304/3	1304/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	1383			articStaccatoAbove								
146	146	435	435	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	1384							145				
146	146	1743/4	1743/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	1385											
146	146	436	436	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1386											
146	146	435	435	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	1387											
147	147	438	438	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	1388											
147	147	438	438	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	1389							146				
147	147	1755/4	1755/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	1390											
147	147	439	439	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1391											
147	147	438	438	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	1392											
148	148	441	441	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	1393			articStaccatoAbove				147				
148	148	442	442	0.0	1/4	1/4	Dynamic	3/4	1	1	0						other-dynamics					147				
148	148	442	442	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1394			articStaccatoAbove				147				
148	148	443	443	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1395			articStaccatoAbove								
148	148	441	441	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	1396			articStaccatoBelow				148				
148	148	442	442	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1397			articStaccatoBelow				148				
148	148	443	443	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1398			articStaccatoBelow								
149	149	444	444	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	1399											
149	149	444	444	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	1400											
150	150	447	447	0.0	0	0	Spanner	3/4	1	1	0													8		
150	150	447	447	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	1401	<		articStaccatoAbove				149		8		
150	150	448	448	0.0	1/4	1/4	Spanner	3/4	1	1	0											149				
150	150	448	448	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1402			articStaccatoAbove				149				
150	150	449	449	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1403			articStaccatoAbove								
150	150	447	447	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	1404			articStaccatoBelow				150				
150	150	448	448	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1405			articStaccatoBelow				150				
150	150	449	449	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1406			articStaccatoBelow								
151	151	450	450	0.0	0	0	Dynamic	3/4	1	1	0						sf									
151	151	450	450	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	1407											
151	151	450	450	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	1408											
152	152	453	453	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1409							151				
152	152	907/2	907/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1410											
152	152	454	454	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	1411							152				
152	152	1817/4	1817/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	1412							152				
152	152	909/2	909/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	1413							152				
152	152	1819/4	1819/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	1414											
152	152	455	455	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1415							153				
152	152	911/2	911/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1416											
152	152	453	453	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	1417	p										
152	152	454	454	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	1418											
152	152	455	455	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	1419											
152	152	453	453	0.0	0	0	Dynamic	3/4	2	1	0						p									
152	152	453	453	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	1420											
152	152	454	454	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1421											
152	152	455	455	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1422											
153	153	456	456	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	1423											
153	153	456	456	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	1424											
153	153	913/2	913/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1425											
153	153	457	457	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	1426											
153	153	915/2	915/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	1427											
153	153	458	458	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	1428											
153	153	917/2	917/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	1429											
154	154	459	459	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	1430											
154	154	459	459	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	1431							154				
154	154	1839/4	1839/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	1432											
154	154	460	460	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1433											
154	154	459	459	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	1434											
154	154	459	459	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	1435											
154	154	919/2	919/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	1436											
154	154	460	460	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	1437											
154	154	921/2	921/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	1438											
154	154	461	461	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	1439											
154	154	923/2	923/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	1440											
155	155	462	462	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	1441											
155	155	462	462	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	1442							155				
155	155	1851/4	1851/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	1443											
155	155	463	463	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1444											
155	155	462	462	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	1445											
155	155	462	462	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	1446											
155	155	925/2	925/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	1447											
155	155	463	463	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	1448											
155	155	927/2	927/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	1449											
155	155	464	464	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	1450											
155	155	929/2	929/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	1451											
156	156	465	465	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	1452							156				
156	156	1861/4	1861/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	1453											
156	156	466	466	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	1454							157				
156	156	1865/4	1865/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	1455											
156	156	467	467	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	1456							158				
156	156	1869/4	1869/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	1457											
156	156	465	465	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	1458											
156	156	466	466	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1459											
156	156	467	467	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1460											
156	156	465	465	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	1461											
156	156	931/2	931/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	1462											
156	156	466	466	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	1463											
156	156	933/2	933/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	1464											
156	156	467	467	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	1465											
156	156	935/2	935/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	1466											
157	157	468	468	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	1467							159				
157	157	1873/4	1873/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	1468											
157	157	468	468	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	1469											
157	157	468	468	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	1470											
157	157	937/2	937/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	1471											
157	157	469	469	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	1472											
157	157	939/2	939/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	1473											
157	157	470	470	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	1474											
157	157	941/2	941/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	1475											
158	158	1885/4	1885/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	1476	<										
158	158	943/2	943/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	1477											
158	158	1887/4	1887/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	1478											
158	158	472	472	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	1479											
158	158	1889/4	1889/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	1480											
158	158	945/2	945/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	1481											
158	158	1891/4	1891/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	1482											
158	158	473	473	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1483											
158	158	471	471	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	1484											
158	158	471	471	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	1485											
158	158	943/2	943/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	1486											
158	158	472	472	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	1487											
158	158	945/2	945/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	1488											
158	158	473	473	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	1489											
158	158	947/2	947/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	1490											
159	159	1897/4	1897/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	1491											
159	159	949/2	949/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	1492											
159	159	1899/4	1899/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	1493											
159	159	475	475	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	1494											
159	159	1901/4	1901/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	1495											
159	159	951/2	951/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	1496											
159	159	1903/4	1903/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	1497											
159	159	476	476	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1498											
159	159	474	474	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	1499											
159	159	474	474	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	1500											
159	159	949/2	949/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	1501											
159	159	475	475	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	1502											
159	159	951/2	951/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	1503											
159	159	476	476	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	1504											
159	159	953/2	953/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	1505											
160	160	1909/4	1909/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	1506											
160	160	955/2	955/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	1507											
160	160	1911/4	1911/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	1508											
160	160	1913/4	1913/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	1509											
160	160	957/2	957/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	1510											
160	160	1915/4	1915/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	1511											
160	160	1917/4	1917/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	1512											
160	160	959/2	959/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	1513											
160	160	1919/4	1919/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	1514											
160	160	477	477	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	1515											
160	160	478	478	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1516											
160	160	479	479	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1517											
160	160	477	477	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	1518											
160	160	955/2	955/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	1519											
160	160	478	478	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	1520											
160	160	957/2	957/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	1521											
160	160	479	479	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	1522											
160	160	959/2	959/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	1523											
161	161	480	480	0.0	0	0	Dynamic	3/4	1	1	0						p									
161	161	480	480	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	1524	p										
161	161	1921/4	1921/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	1525											
161	161	961/2	961/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	1526											
161	161	1923/4	1923/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	1527											
