mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_line	decrescendo_hairpin	diminuendo_line	crescendo_hairpin
49	49	96	96	0.0		0	0	Spanner	2/4	1	1	0											0	
49	49	96	96	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	475			articStaccatoBelow				0	
49	49	385/4	385/4	0.0		1/16	1/16	Spanner	2/4	1	1	0												
49	49	385/4	385/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	476			articStaccatoBelow					
49	49	193/2	193/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	477			articStaccatoBelow					
49	49	387/4	387/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	478			articStaccatoBelow					
49	49	97	97	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	479			articStaccatoAbove					
49	49	389/4	389/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	480			articStaccatoAbove					
49	49	195/2	195/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	481			articStaccatoAbove					
49	49	391/4	391/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	482			articStaccatoAbove					
49	49	96	96	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	483			articStaccatoBelow					
49	49	775/8	775/8	0.125		7/32	7/32	Chord	2/4	2	2	1/32		1/32	1	484			articStaccatoBelow					
49	49	97	97	0.5		1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	485			articStaccatoBelow					
49	49	783/8	783/8	0.125		15/32	15/32	Chord	2/4	2	2	1/32		1/32	1	486			articStaccatoBelow					
50	50	98	98	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	487	pp		articStaccatoBelow					
50	50	395/4	395/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	488			articStaccatoBelow					
50	50	99	99	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	489			articStaccatoBelow					
50	50	399/4	399/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	490			articStaccatoAbove					
50	50	98	98	0.0		0	0	Dynamic	2/4	2	1	0						pp						
50	50	98	98	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	491			articStaccatoAbove					
50	50	393/4	393/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	492			articStaccatoAbove					
50	50	197/2	197/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	493			articStaccatoAbove					
50	50	395/4	395/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	494			articStaccatoAbove					
50	50	99	99	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	495			articStaccatoAbove					
50	50	397/4	397/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	496			articStaccatoAbove					
50	50	199/2	199/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	497			articStaccatoAbove					
50	50	399/4	399/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	498			articStaccatoAbove					
51	51	100	100	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	499			articStaccatoAbove					
51	51	403/4	403/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	500			articStaccatoAbove					
51	51	101	101	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	501				13				
51	51	405/4	405/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	502								
51	51	203/2	203/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	503			articStaccatoAbove					
51	51	407/4	407/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	504			articStaccatoAbove					
51	51	100	100	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	505			articStaccatoAbove					
51	51	401/4	401/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	506			articStaccatoAbove					
51	51	201/2	201/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	507			articStaccatoAbove					
51	51	403/4	403/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	508			articStaccatoAbove					
51	51	101	101	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	509			articStaccatoAbove					
51	51	405/4	405/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	510			articStaccatoAbove					
51	51	203/2	203/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	511			articStaccatoAbove					
51	51	407/4	407/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	512			articStaccatoAbove					
52	52	102	102	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	513			articStaccatoAbove					
52	52	411/4	411/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	514			articStaccatoAbove					
52	52	103	103	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	515			articStaccatoBelow					
52	52	415/4	415/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	516			articStaccatoAbove					
52	52	102	102	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	517			articStaccatoAbove					
52	52	409/4	409/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	518			articStaccatoAbove					
52	52	205/2	205/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	519			articStaccatoAbove					
52	52	411/4	411/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	520			articStaccatoAbove					
52	52	103	103	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	521			articStaccatoAbove					
52	52	413/4	413/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	522			articStaccatoAbove					
52	52	207/2	207/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	523			articStaccatoAbove					
52	52	415/4	415/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	524			articStaccatoAbove					
53	53	104	104	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	525			articStaccatoAbove					
53	53	419/4	419/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	526			articStaccatoAbove					
53	53	105	105	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	527				14				
53	53	421/4	421/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	528								
53	53	211/2	211/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	529			articStaccatoAbove					
53	53	423/4	423/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	530			articStaccatoAbove					
53	53	104	104	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	531			articStaccatoAbove					
53	53	417/4	417/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	532			articStaccatoAbove					
53	53	209/2	209/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	533			articStaccatoAbove					
53	53	419/4	419/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	534			articStaccatoAbove					
53	53	105	105	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	535			articStaccatoAbove					
53	53	421/4	421/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	536			articStaccatoAbove					
53	53	211/2	211/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	537			articStaccatoAbove					
53	53	423/4	423/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	538			articStaccatoAbove					
54	54	106	106	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	539			articStaccatoAbove					
54	54	427/4	427/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	540			articStaccatoAbove					
54	54	107	107	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	541				15				
54	54	429/4	429/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	542								
54	54	215/2	215/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	543			articStaccatoAbove					
54	54	431/4	431/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	544			articStaccatoAbove					
54	54	106	106	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	545			articStaccatoAbove					
54	54	425/4	425/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	546			articStaccatoAbove					
54	54	213/2	213/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	547			articStaccatoAbove					
54	54	427/4	427/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	548			articStaccatoAbove					
54	54	107	107	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	549			articStaccatoAbove					
54	54	429/4	429/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	550			articStaccatoAbove					
54	54	215/2	215/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	551			articStaccatoAbove					
54	54	431/4	431/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	552			articStaccatoAbove					
55	55	108	108	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	553			articStaccatoAbove					
55	55	435/4	435/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	554			articStaccatoAbove					
55	55	109	109	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	555				16				
55	55	437/4	437/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	556								
55	55	219/2	219/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	557			articStaccatoAbove					
55	55	439/4	439/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	558			articStaccatoAbove					
55	55	108	108	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	559			articStaccatoAbove					
55	55	433/4	433/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	560			articStaccatoAbove					
55	55	217/2	217/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	561			articStaccatoAbove					
55	55	435/4	435/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	562			articStaccatoAbove					
55	55	109	109	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	563			articStaccatoAbove					
55	55	437/4	437/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	564			articStaccatoAbove					
55	55	219/2	219/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	565			articStaccatoAbove					
55	55	439/4	439/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	566			articStaccatoAbove					
56	56	110	110	0.0		0	0	Dynamic	2/4	1	1	0						pp						
56	56	110	110	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	567	pp		articStaccatoAbove					
56	56	441/4	441/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	568			articStaccatoAbove					
56	56	221/2	221/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	569			articStaccatoAbove					
56	56	443/4	443/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	570			articStaccatoAbove					
56	56	111	111	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	571			articStaccatoBelow					
56	56	445/4	445/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	572			articStaccatoBelow					
56	56	223/2	223/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	573			articStaccatoBelow					
56	56	447/4	447/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	574			articStaccatoBelow					
56	56	110	110	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	575								
57	57	112	112	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	576			articStaccatoBelow					
57	57	449/4	449/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	577			articStaccatoBelow					
57	57	225/2	225/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	578			articStaccatoBelow					
57	57	451/4	451/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	579			articStaccatoBelow					
57	57	113	113	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	580			articStaccatoAbove					
57	57	453/4	453/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	581			articStaccatoAbove					
57	57	227/2	227/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	582			articStaccatoAbove					
57	57	455/4	455/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	583			articStaccatoAbove					
57	57	112	112	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	584			articStaccatoAbove					
57	57	449/4	449/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	585			articStaccatoAbove					
57	57	225/2	225/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	586			articStaccatoAbove					
57	57	451/4	451/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	587			articStaccatoAbove					
57	57	113	113	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	588			articStaccatoBelow					
57	57	453/4	453/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	589			articStaccatoBelow					
57	57	227/2	227/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	590			articStaccatoBelow					
57	57	455/4	455/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	591			articStaccatoBelow					
58	58	114	114	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	592			articStaccatoAbove					
58	58	457/4	457/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	593			articStaccatoAbove					
58	58	229/2	229/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	594			articStaccatoAbove					
58	58	459/4	459/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	595			articStaccatoAbove					
58	58	461/4	461/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	596			articStaccatoBelow					
58	58	231/2	231/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	597			articStaccatoBelow					
58	58	463/4	463/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	598			articStaccatoBelow					
58	58	114	114	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	599								
58	58	115	115	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	600								
59	59	465/4	465/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	601			articStaccatoBelow					
59	59	233/2	233/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	602			articStaccatoBelow					
59	59	467/4	467/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	603			articStaccatoBelow					
59	59	469/4	469/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	604			articStaccatoBelow					
59	59	235/2	235/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	605			articStaccatoBelow					
59	59	471/4	471/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	606			articStaccatoBelow					
59	59	116	116	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	607								
59	59	117	117	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	608								
60	60	473/4	473/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	609	<		articStaccatoBelow					
60	60	237/2	237/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	610			articStaccatoBelow					
60	60	475/4	475/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	611			articStaccatoBelow					
60	60	477/4	477/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	612			articStaccatoBelow					
60	60	239/2	239/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	613			articStaccatoBelow					
60	60	479/4	479/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	614			articStaccatoBelow					
60	60	118	118	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	615								
60	60	119	119	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	616								
61	61	481/4	481/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	617			articStaccatoBelow					
61	61	241/2	241/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	618			articStaccatoBelow					
61	61	483/4	483/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	619			articStaccatoBelow					
61	61	485/4	485/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	620			articStaccatoBelow					
61	61	243/2	243/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	621			articStaccatoBelow					
61	61	487/4	487/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	622			articStaccatoBelow					
61	61	120	120	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	623								
61	61	121	121	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	624								
62	61		122	1.5	1	0	0	Chord	2/4	1	1	3/8		1/4	3/2	625	p							
62	61		247/2	0.5	1	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	626								
62	61		489/4	0.25	1	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	627			articStaccatoBelow					
62	61		245/2	0.25	1	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	628			articStaccatoBelow					
62	61		491/4	0.25	1	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	629			articStaccatoBelow					
62	61		123	0.25	1	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	630			articStaccatoBelow					
62	61		493/4	0.25	1	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	631			articStaccatoBelow					
62	61		247/2	0.25	1	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	632			articStaccatoBelow					
62	61		495/4	0.25	1	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	633			articStaccatoBelow					
63	61		124	1.5	1	0	0	Chord	2/4	1	1	3/8		1/4	3/2	634								
63	61		251/2	0.5	1	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	635								
63	61		497/4	0.25	1	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	636			articStaccatoBelow					
63	61		249/2	0.25	1	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	637			articStaccatoBelow					
63	61		499/4	0.25	1	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	638			articStaccatoBelow					
63	61		125	0.25	1	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	639			articStaccatoBelow					
63	61		501/4	0.25	1	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	640			articStaccatoBelow					
63	61		251/2	0.25	1	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	641			articStaccatoBelow					
63	61		503/4	0.25	1	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	642			articStaccatoBelow					
64	61	489/4	505/4	0.25	2	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	643	>		articStaccatoBelow					
64	61	245/2	253/2	0.25	2	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	644			articStaccatoBelow					
64	61	491/4	507/4	0.25	2	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	645			articStaccatoBelow					
64	61	493/4	509/4	0.0	2	5/16	5/16	Spanner	2/4	1	1	0											1	
64	61	493/4	509/4	0.25	2	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	646			articStaccatoBelow				1	
64	61	247/2	255/2	0.0	2	3/8	3/8	Spanner	2/4	1	1	0												
64	61	247/2	255/2	0.25	2	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	647			articStaccatoBelow					
64	61	495/4	511/4	0.25	2	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	648			articStaccatoBelow					
64	61	122	126	0.5	2	0	0	Chord	2/4	2	1	1/8		1/8	1	649								
64	61	123	127	0.5	2	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	650								
65	61	497/4	513/4	0.25	2	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	651			articStaccatoBelow					
65	61	249/2	257/2	0.25	2	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	652			articStaccatoBelow					
65	61	499/4	515/4	0.25	2	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	653			articStaccatoBelow					
65	61	501/4	517/4	0.25	2	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	654			articStaccatoBelow					
65	61	251/2	259/2	0.25	2	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	655			articStaccatoBelow					
65	61	503/4	519/4	0.25	2	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	656			articStaccatoBelow					
65	61	124	128	0.5	2	0	0	Chord	2/4	2	1	1/8		1/8	1	657								
65	61	125	129	0.5	2	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	658								
66	62	126	130	0.0		0	0	Dynamic	2/4	1	1	0						p						
66	62	126	130	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	659	p							
66	62	255/2	263/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	660								
66	62	505/4	521/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	661			articStaccatoAbove					
66	62	253/2	261/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	662			articStaccatoAbove					
66	62	507/4	523/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	663			articStaccatoAbove					
66	62	127	131	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	664			articStaccatoAbove					
66	62	509/4	525/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	665			articStaccatoAbove					
66	62	255/2	263/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	666			articStaccatoAbove					
66	62	511/4	527/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	667			articStaccatoAbove					
67	63	128	132	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	668								
67	63	259/2	267/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	669								
67	63	513/4	529/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	670			articStaccatoAbove					
67	63	257/2	265/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	671			articStaccatoAbove					
67	63	515/4	531/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	672			articStaccatoAbove					
67	63	129	133	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	673			articStaccatoAbove					
67	63	517/4	533/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	674			articStaccatoAbove					
67	63	259/2	267/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	675			articStaccatoAbove					
67	63	519/4	535/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	676								
68	64	130	134	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	677				17				
68	64	261/2	269/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	678								
68	64	131	135	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	679			articStaccatoBelow					
68	64	263/2	271/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	680			articStaccatoBelow					
68	64	130	134	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	681			articStaccatoAbove					
68	64	521/4	537/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	682			articStaccatoAbove					
68	64	261/2	269/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	683			articStaccatoAbove					
68	64	523/4	539/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	684			articStaccatoAbove					
68	64	131	135	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	685			articStaccatoAbove					
68	64	525/4	541/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	686			articStaccatoAbove					
68	64	263/2	271/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	687			articStaccatoAbove					
68	64	527/4	543/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	688			articStaccatoAbove					
69	65	132	136	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	689	p							
69	65	133	137	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	690								
69	65	533/4	549/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	691			articStaccatoBelow					
69	65	267/2	275/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	692			articStaccatoBelow					
69	65	535/4	551/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	693			articStaccatoBelow					
69	65	132	136	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	694			articStaccatoAbove					
69	65	529/4	545/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	695			articStaccatoAbove					
69	65	265/2	273/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	696			articStaccatoAbove					
69	65	531/4	547/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	697								
69	65	133	137	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	698			articStaccatoAbove					
69	65	533/4	549/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	699			articStaccatoAbove					
69	65	267/2	275/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	700			articStaccatoAbove					
69	65	535/4	551/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	701			articStaccatoAbove					
70	66	134	138	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	702	p							
70	66	271/2	279/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	703								
70	66	134	138	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	704			articStaccatoAbove					
70	66	537/4	553/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	705			articStaccatoAbove					
70	66	269/2	277/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	706			articStaccatoAbove					
70	66	539/4	555/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	707			articStaccatoAbove					
70	66	135	139	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	708			articStaccatoAbove					
70	66	541/4	557/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	709			articStaccatoAbove					
70	66	271/2	279/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	710								
70	66	543/4	559/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	711			articStaccatoAbove					
71	67	136	140	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	712								
71	67	275/2	283/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	713								
71	67	545/4	561/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	714			articStaccatoAbove					
71	67	273/2	281/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	715			articStaccatoAbove					
71	67	547/4	563/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	716			articStaccatoAbove					
71	67	137	141	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	717			articStaccatoAbove					
