mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin	Trill:trill
108	94	2249/12	2417/12	0.08333333333333333		7/24	7/24	Chord	9/16	1	1	1/48		1/32	2/3	2834										
108	94	375/2	403/2	0.08333333333333333		5/16	5/16	Chord	9/16	1	1	1/48		1/32	2/3	2835										
108	94	2251/12	2419/12	0.08333333333333333		1/3	1/3	Chord	9/16	1	1	1/48		1/32	2/3	2836										
108	94	563/3	605/3	0.08333333333333333		17/48	17/48	Chord	9/16	1	1	1/48		1/32	2/3	2837										
108	94	751/4	807/4	0.08333333333333333		3/8	3/8	Chord	9/16	1	1	1/48		1/32	2/3	2838										
108	94	1127/6	1211/6	0.08333333333333333		19/48	19/48	Chord	9/16	1	1	1/48		1/32	2/3	2839										
108	94	2255/12	2423/12	0.08333333333333333		5/12	5/12	Chord	9/16	1	1	1/48		1/32	2/3	2840										
108	94	188	202	0.08333333333333333		7/16	7/16	Chord	9/16	1	1	1/48		1/32	2/3	2841										
108	94	2257/12	2425/12	0.08333333333333333		11/24	11/24	Chord	9/16	1	1	1/48		1/32	2/3	2842										
108	94	1129/6	1213/6	0.08333333333333333		23/48	23/48	Chord	9/16	1	1	1/48		1/32	2/3	2843										
108	94	753/4	809/4	0.08333333333333333		1/2	1/2	Chord	9/16	1	1	1/48		1/32	2/3	2844										
108	94	565/3	607/3	0.08333333333333333		25/48	25/48	Chord	9/16	1	1	1/48		1/32	2/3	2845										
108	94	2261/12	2429/12	0.08333333333333333		13/24	13/24	Chord	9/16	1	1	1/48		1/32	2/3	2846										
108	94	745/4	801/4	0.25		0	0	Chord	9/16	2	1	1/16		1/16	1	2847										
108	94	373/2	401/2	0.25		1/16	1/16	Chord	9/16	2	1	1/16		1/16	1	2848										
108	94	747/4	803/4	0.25		1/8	1/8	Chord	9/16	2	1	1/16		1/16	1	2849										
108	94	187	201	0.25		3/16	3/16	Chord	9/16	2	1	1/16		1/16	1	2850										
108	94	749/4	805/4	0.25		1/4	1/4	Chord	9/16	2	1	1/16		1/16	1	2851			articStaccatoAbove							
108	94	375/2	403/2	0.25		5/16	5/16	Chord	9/16	2	1	1/16		1/16	1	2852										
108	94	751/4	807/4	0.25		3/8	3/8	Chord	9/16	2	1	1/16		1/16	1	2853										
108	94	188	202	0.25		7/16	7/16	Chord	9/16	2	1	1/16		1/16	1	2854										
108	94	753/4	809/4	0.25		1/2	1/2	Chord	9/16	2	1	1/16		1/16	1	2855										
109	95	377/2	405/2	0.08333333333333333		0	0	Chord	9/16	1	1	1/48		1/32	2/3	2856										
109	95	2263/12	2431/12	0.08333333333333333		1/48	1/48	Chord	9/16	1	1	1/48		1/32	2/3	2857										
109	95	566/3	608/3	0.08333333333333333		1/24	1/24	Chord	9/16	1	1	1/48		1/32	2/3	2858										
109	95	755/4	811/4	0.08333333333333333		1/16	1/16	Chord	9/16	1	1	1/48		1/32	2/3	2859										
109	95	1133/6	1217/6	0.08333333333333333		1/12	1/12	Chord	9/16	1	1	1/48		1/32	2/3	2860										
109	95	2267/12	2435/12	0.08333333333333333		5/48	5/48	Chord	9/16	1	1	1/48		1/32	2/3	2861										
109	95	189	203	0.08333333333333333		1/8	1/8	Chord	9/16	1	1	1/48		1/32	2/3	2862										
109	95	2269/12	2437/12	0.08333333333333333		7/48	7/48	Chord	9/16	1	1	1/48		1/32	2/3	2863										
109	95	1135/6	1219/6	0.08333333333333333		1/6	1/6	Chord	9/16	1	1	1/48		1/32	2/3	2864										
109	95	757/4	813/4	0.08333333333333333		3/16	3/16	Chord	9/16	1	1	1/48		1/32	2/3	2865										
109	95	568/3	610/3	0.08333333333333333		5/24	5/24	Chord	9/16	1	1	1/48		1/32	2/3	2866										
109	95	2273/12	2441/12	0.08333333333333333		11/48	11/48	Chord	9/16	1	1	1/48		1/32	2/3	2867										
109	95	379/2	407/2	0.08333333333333333		1/4	1/4	Chord	9/16	1	1	1/48		1/32	2/3	2868										
109	95	2275/12	2443/12	0.08333333333333333		13/48	13/48	Chord	9/16	1	1	1/48		1/32	2/3	2869										
109	95	569/3	611/3	0.08333333333333333		7/24	7/24	Chord	9/16	1	1	1/48		1/32	2/3	2870										
109	95	759/4	815/4	0.08333333333333333		5/16	5/16	Chord	9/16	1	1	1/48		1/32	2/3	2871										
109	95	1139/6	1223/6	0.08333333333333333		1/3	1/3	Chord	9/16	1	1	1/48		1/32	2/3	2872										
109	95	2279/12	2447/12	0.08333333333333333		17/48	17/48	Chord	9/16	1	1	1/48		1/32	2/3	2873										
109	95	190	204	0.08333333333333333		3/8	3/8	Chord	9/16	1	1	1/48		1/32	2/3	2874										
109	95	2281/12	2449/12	0.08333333333333333		19/48	19/48	Chord	9/16	1	1	1/48		1/32	2/3	2875										
109	95	1141/6	1225/6	0.08333333333333333		5/12	5/12	Chord	9/16	1	1	1/48		1/32	2/3	2876										
109	95	761/4	817/4	0.08333333333333333		7/16	7/16	Chord	9/16	1	1	1/48		1/32	2/3	2877										
109	95	571/3	613/3	0.08333333333333333		11/24	11/24	Chord	9/16	1	1	1/48		1/32	2/3	2878										
109	95	2285/12	2453/12	0.08333333333333333		23/48	23/48	Chord	9/16	1	1	1/48		1/32	2/3	2879										
109	95	381/2	409/2	0.08333333333333333		1/2	1/2	Chord	9/16	1	1	1/48		1/32	2/3	2880										
109	95	2287/12	2455/12	0.08333333333333333		25/48	25/48	Chord	9/16	1	1	1/48		1/32	2/3	2881										
109	95	572/3	614/3	0.08333333333333333		13/24	13/24	Chord	9/16	1	1	1/48		1/32	2/3	2882										
109	95	377/2	405/2	0.25		0	0	Chord	9/16	2	1	1/16		1/16	1	2883										
109	95	755/4	811/4	0.25		1/16	1/16	Chord	9/16	2	1	1/16		1/16	1	2884										
109	95	189	203	0.25		1/8	1/8	Chord	9/16	2	1	1/16		1/16	1	2885										
109	95	757/4	813/4	0.25		3/16	3/16	Chord	9/16	2	1	1/16		1/16	1	2886										
109	95	379/2	407/2	0.25		1/4	1/4	Chord	9/16	2	1	1/16		1/16	1	2887										
109	95	759/4	815/4	0.25		5/16	5/16	Chord	9/16	2	1	1/16		1/16	1	2888										
109	95	190	204	0.25		3/8	3/8	Chord	9/16	2	1	1/16		1/16	1	2889			articStaccatoAbove							
109	95	761/4	817/4	0.25		7/16	7/16	Chord	9/16	2	1	1/16		1/16	1	2890										
109	95	381/2	409/2	0.25		1/2	1/2	Chord	9/16	2	1	1/16		1/16	1	2891										
110	96	763/4	819/4	0.08333333333333333		0	0	Chord	9/16	1	1	1/48		1/32	2/3	2892										
110	96	1145/6	1229/6	0.08333333333333333		1/48	1/48	Chord	9/16	1	1	1/48		1/32	2/3	2893										
110	96	2291/12	2459/12	0.08333333333333333		1/24	1/24	Chord	9/16	1	1	1/48		1/32	2/3	2894										
110	96	191	205	0.08333333333333333		1/16	1/16	Chord	9/16	1	1	1/48		1/32	2/3	2895										
110	96	2293/12	2461/12	0.08333333333333333		1/12	1/12	Chord	9/16	1	1	1/48		1/32	2/3	2896										
110	96	1147/6	1231/6	0.08333333333333333		5/48	5/48	Chord	9/16	1	1	1/48		1/32	2/3	2897										
110	96	765/4	821/4	0.08333333333333333		1/8	1/8	Chord	9/16	1	1	1/48		1/32	2/3	2898										
110	96	574/3	616/3	0.08333333333333333		7/48	7/48	Chord	9/16	1	1	1/48		1/32	2/3	2899										
110	96	2297/12	2465/12	0.08333333333333333		1/6	1/6	Chord	9/16	1	1	1/48		1/32	2/3	2900										
110	96	383/2	411/2	0.08333333333333333		3/16	3/16	Chord	9/16	1	1	1/48		1/32	2/3	2901										
110	96	2299/12	2467/12	0.08333333333333333		5/24	5/24	Chord	9/16	1	1	1/48		1/32	2/3	2902										
110	96	575/3	617/3	0.08333333333333333		11/48	11/48	Chord	9/16	1	1	1/48		1/32	2/3	2903										
110	96	767/4	823/4	0.08333333333333333		1/4	1/4	Chord	9/16	1	1	1/48		1/32	2/3	2904										
110	96	1151/6	1235/6	0.08333333333333333		13/48	13/48	Chord	9/16	1	1	1/48		1/32	2/3	2905										
110	96	2303/12	2471/12	0.08333333333333333		7/24	7/24	Chord	9/16	1	1	1/48		1/32	2/3	2906										
110	96	192	206	0.08333333333333333		5/16	5/16	Chord	9/16	1	1	1/48		1/32	2/3	2907										
110	96	2305/12	2473/12	0.08333333333333333		1/3	1/3	Chord	9/16	1	1	1/48		1/32	2/3	2908										
110	96	1153/6	1237/6	0.08333333333333333		17/48	17/48	Chord	9/16	1	1	1/48		1/32	2/3	2909										
110	96	769/4	825/4	0.08333333333333333		3/8	3/8	Chord	9/16	1	1	1/48		1/32	2/3	2910										
110	96	577/3	619/3	0.08333333333333333		19/48	19/48	Chord	9/16	1	1	1/48		1/32	2/3	2911										
110	96	2309/12	2477/12	0.08333333333333333		5/12	5/12	Chord	9/16	1	1	1/48		1/32	2/3	2912										
110	96	385/2	413/2	0.08333333333333333		7/16	7/16	Chord	9/16	1	1	1/48		1/32	2/3	2913										
110	96	2311/12	2479/12	0.08333333333333333		11/24	11/24	Chord	9/16	1	1	1/48		1/32	2/3	2914										
110	96	578/3	620/3	0.08333333333333333		23/48	23/48	Chord	9/16	1	1	1/48		1/32	2/3	2915										
110	96	771/4	827/4	0.08333333333333333		1/2	1/2	Chord	9/16	1	1	1/48		1/32	2/3	2916										
110	96	1157/6	1241/6	0.08333333333333333		25/48	25/48	Chord	9/16	1	1	1/48		1/32	2/3	2917										
110	96	2315/12	2483/12	0.08333333333333333		13/24	13/24	Chord	9/16	1	1	1/48		1/32	2/3	2918										
110	96	763/4	819/4	0.25		0	0	Chord	9/16	2	1	1/16		1/16	1	2919										
110	96	191	205	0.25		1/16	1/16	Chord	9/16	2	1	1/16		1/16	1	2920										
110	96	765/4	821/4	0.25		1/8	1/8	Chord	9/16	2	1	1/16		1/16	1	2921										
110	96	383/2	411/2	0.25		3/16	3/16	Chord	9/16	2	1	1/16		1/16	1	2922										
110	96	767/4	823/4	0.25		1/4	1/4	Chord	9/16	2	1	1/16		1/16	1	2923										
110	96	192	206	0.25		5/16	5/16	Chord	9/16	2	1	1/16		1/16	1	2924										
110	96	769/4	825/4	0.25		3/8	3/8	Chord	9/16	2	1	1/16		1/16	1	2925										
110	96	385/2	413/2	0.25		7/16	7/16	Chord	9/16	2	1	1/16		1/16	1	2926										
110	96	771/4	827/4	0.25		1/2	1/2	Chord	9/16	2	1	1/16		1/16	1	2927										
111	97	193	207	0.08333333333333333		0	0	Chord	9/16	1	1	1/48		1/32	2/3	2928										
111	97	2317/12	2485/12	0.08333333333333333		1/48	1/48	Chord	9/16	1	1	1/48		1/32	2/3	2929										
111	97	1159/6	1243/6	0.08333333333333333		1/24	1/24	Chord	9/16	1	1	1/48		1/32	2/3	2930										
111	97	773/4	829/4	0.08333333333333333		1/16	1/16	Chord	9/16	1	1	1/48		1/32	2/3	2931										
111	97	580/3	622/3	0.08333333333333333		1/12	1/12	Chord	9/16	1	1	1/48		1/32	2/3	2932										
111	97	2321/12	2489/12	0.08333333333333333		5/48	5/48	Chord	9/16	1	1	1/48		1/32	2/3	2933										
111	97	387/2	415/2	0.08333333333333333		1/8	1/8	Chord	9/16	1	1	1/48		1/32	2/3	2934										
111	97	2323/12	2491/12	0.08333333333333333		7/48	7/48	Chord	9/16	1	1	1/48		1/32	2/3	2935										
111	97	581/3	623/3	0.08333333333333333		1/6	1/6	Chord	9/16	1	1	1/48		1/32	2/3	2936										
111	97	775/4	831/4	0.08333333333333333		3/16	3/16	Chord	9/16	1	1	1/48		1/32	2/3	2937										
111	97	1163/6	1247/6	0.08333333333333333		5/24	5/24	Chord	9/16	1	1	1/48		1/32	2/3	2938										
111	97	2327/12	2495/12	0.08333333333333333		11/48	11/48	Chord	9/16	1	1	1/48		1/32	2/3	2939										
111	97	194	208	0.08333333333333333		1/4	1/4	Chord	9/16	1	1	1/48		1/32	2/3	2940										
111	97	2329/12	2497/12	0.08333333333333333		13/48	13/48	Chord	9/16	1	1	1/48		1/32	2/3	2941										
111	97	1165/6	1249/6	0.08333333333333333		7/24	7/24	Chord	9/16	1	1	1/48		1/32	2/3	2942										
111	97	777/4	833/4	0.08333333333333333		5/16	5/16	Chord	9/16	1	1	1/48		1/32	2/3	2943										
111	97	583/3	625/3	0.08333333333333333		1/3	1/3	Chord	9/16	1	1	1/48		1/32	2/3	2944										
111	97	2333/12	2501/12	0.08333333333333333		17/48	17/48	Chord	9/16	1	1	1/48		1/32	2/3	2945										
111	97	389/2	417/2	0.08333333333333333		3/8	3/8	Chord	9/16	1	1	1/48		1/32	2/3	2946										
111	97	2335/12	2503/12	0.08333333333333333		19/48	19/48	Chord	9/16	1	1	1/48		1/32	2/3	2947										
111	97	584/3	626/3	0.08333333333333333		5/12	5/12	Chord	9/16	1	1	1/48		1/32	2/3	2948										
111	97	779/4	835/4	0.08333333333333333		7/16	7/16	Chord	9/16	1	1	1/48		1/32	2/3	2949										
111	97	1169/6	1253/6	0.08333333333333333		11/24	11/24	Chord	9/16	1	1	1/48		1/32	2/3	2950										
111	97	2339/12	2507/12	0.08333333333333333		23/48	23/48	Chord	9/16	1	1	1/48		1/32	2/3	2951										
111	97	195	209	0.08333333333333333		1/2	1/2	Chord	9/16	1	1	1/48		1/32	2/3	2952										
111	97	2341/12	2509/12	0.08333333333333333		25/48	25/48	Chord	9/16	1	1	1/48		1/32	2/3	2953										
111	97	1171/6	1255/6	0.08333333333333333		13/24	13/24	Chord	9/16	1	1	1/48		1/32	2/3	2954										
111	97	193	207	0.25		0	0	Chord	9/16	2	1	1/16		1/16	1	2955										
111	97	773/4	829/4	0.25		1/16	1/16	Chord	9/16	2	1	1/16		1/16	1	2956										
111	97	387/2	415/2	0.25		1/8	1/8	Chord	9/16	2	1	1/16		1/16	1	2957										
111	97	775/4	831/4	0.25		3/16	3/16	Chord	9/16	2	1	1/16		1/16	1	2958										
111	97	194	208	0.25		1/4	1/4	Chord	9/16	2	1	1/16		1/16	1	2959										
111	97	777/4	833/4	0.25		5/16	5/16	Chord	9/16	2	1	1/16		1/16	1	2960										
111	97	389/2	417/2	0.25		3/8	3/8	Chord	9/16	2	1	1/16		1/16	1	2961										
111	97	779/4	835/4	0.25		7/16	7/16	Chord	9/16	2	1	1/16		1/16	1	2962										
111	97	195	209	0.25		1/2	1/2	Chord	9/16	2	1	1/16		1/16	1	2963										
112	98	781/4	837/4	0.08333333333333333		0	0	Chord	9/16	1	1	1/48		1/32	2/3	2964										
112	98	586/3	628/3	0.08333333333333333		1/48	1/48	Chord	9/16	1	1	1/48		1/32	2/3	2965										
112	98	2345/12	2513/12	0.08333333333333333		1/24	1/24	Chord	9/16	1	1	1/48		1/32	2/3	2966										
112	98	391/2	419/2	0.08333333333333333		1/16	1/16	Chord	9/16	1	1	1/48		1/32	2/3	2967										
112	98	2347/12	2515/12	0.08333333333333333		1/12	1/12	Chord	9/16	1	1	1/48		1/32	2/3	2968										
112	98	587/3	629/3	0.08333333333333333		5/48	5/48	Chord	9/16	1	1	1/48		1/32	2/3	2969										
112	98	783/4	839/4	0.08333333333333333		1/8	1/8	Chord	9/16	1	1	1/48		1/32	2/3	2970										
112	98	1175/6	1259/6	0.08333333333333333		7/48	7/48	Chord	9/16	1	1	1/48		1/32	2/3	2971										
112	98	2351/12	2519/12	0.08333333333333333		1/6	1/6	Chord	9/16	1	1	1/48		1/32	2/3	2972										
112	98	787/4	843/4	0.08333333333333333		3/8	3/8	Chord	9/16	1	1	1/48		1/32	2/3	2973										
112	98	1181/6	1265/6	0.08333333333333333		19/48	19/48	Chord	9/16	1	1	1/48		1/32	2/3	2974										
112	98	2363/12	2531/12	0.08333333333333333		5/12	5/12	Chord	9/16	1	1	1/48		1/32	2/3	2975										
112	98	197	211	0.08333333333333333		7/16	7/16	Chord	9/16	1	1	1/48		1/32	2/3	2976										
112	98	2365/12	2533/12	0.08333333333333333		11/24	11/24	Chord	9/16	1	1	1/48		1/32	2/3	2977										
112	98	1183/6	1267/6	0.08333333333333333		23/48	23/48	Chord	9/16	1	1	1/48		1/32	2/3	2978										
112	98	789/4	845/4	0.08333333333333333		1/2	1/2	Chord	9/16	1	1	1/48		1/32	2/3	2979										
112	98	592/3	634/3	0.08333333333333333		25/48	25/48	Chord	9/16	1	1	1/48		1/32	2/3	2980										
112	98	2369/12	2537/12	0.08333333333333333		13/24	13/24	Chord	9/16	1	1	1/48		1/32	2/3	2981										
112	98	781/4	837/4	0.25		0	0	Chord	9/16	2	1	1/16		1/16	1	2982										
112	98	391/2	419/2	0.25		1/16	1/16	Chord	9/16	2	1	1/16		1/16	1	2983										
112	98	783/4	839/4	0.25		1/8	1/8	Chord	9/16	2	1	1/16		1/16	1	2984										
112	98	196	210	0.08333333333333333		3/16	3/16	Chord	9/16	2	1	1/48		1/32	2/3	2985										
112	98	2353/12	2521/12	0.08333333333333333		5/24	5/24	Chord	9/16	2	1	1/48		1/32	2/3	2986										
112	98	1177/6	1261/6	0.08333333333333333		11/48	11/48	Chord	9/16	2	1	1/48		1/32	2/3	2987										
112	98	785/4	841/4	0.08333333333333333		1/4	1/4	Chord	9/16	2	1	1/48		1/32	2/3	2988										
112	98	589/3	631/3	0.08333333333333333		13/48	13/48	Chord	9/16	2	1	1/48		1/32	2/3	2989										
112	98	2357/12	2525/12	0.08333333333333333		7/24	7/24	Chord	9/16	2	1	1/48		1/32	2/3	2990										
112	98	393/2	421/2	0.08333333333333333		5/16	5/16	Chord	9/16	2	1	1/48		1/32	2/3	2991										
112	98	2359/12	2527/12	0.08333333333333333		1/3	1/3	Chord	9/16	2	1	1/48		1/32	2/3	2992										
112	98	590/3	632/3	0.08333333333333333		17/48	17/48	Chord	9/16	2	1	1/48		1/32	2/3	2993										
112	98	787/4	843/4	0.25		3/8	3/8	Chord	9/16	2	1	1/16		1/16	1	2994										
112	98	197	211	0.25		7/16	7/16	Chord	9/16	2	1	1/16		1/16	1	2995										
112	98	789/4	845/4	0.25		1/2	1/2	Chord	9/16	2	1	1/16		1/16	1	2996										
113	99	395/2	423/2	0.08333333333333333		0	0	Chord	9/16	1	1	1/48		1/32	2/3	2997										
113	99	2371/12	2539/12	0.08333333333333333		1/48	1/48	Chord	9/16	1	1	1/48		1/32	2/3	2998										
113	99	593/3	635/3	0.08333333333333333		1/24	1/24	Chord	9/16	1	1	1/48		1/32	2/3	2999										
113	99	791/4	847/4	0.08333333333333333		1/16	1/16	Chord	9/16	1	1	1/48		1/32	2/3	3000										
113	99	1187/6	1271/6	0.08333333333333333		1/12	1/12	Chord	9/16	1	1	1/48		1/32	2/3	3001										
113	99	2375/12	2543/12	0.08333333333333333		5/48	5/48	Chord	9/16	1	1	1/48		1/32	2/3	3002										
113	99	198	212	0.08333333333333333		1/8	1/8	Chord	9/16	1	1	1/48		1/32	2/3	3003										
113	99	2377/12	2545/12	0.08333333333333333		7/48	7/48	Chord	9/16	1	1	1/48		1/32	2/3	3004										
113	99	1189/6	1273/6	0.08333333333333333		1/6	1/6	Chord	9/16	1	1	1/48		1/32	2/3	3005										
113	99	793/4	849/4	0.08333333333333333		3/16	3/16	Chord	9/16	1	1	1/48		1/32	2/3	3006										
113	99	595/3	637/3	0.08333333333333333		5/24	5/24	Chord	9/16	1	1	1/48		1/32	2/3	3007										
113	99	2381/12	2549/12	0.08333333333333333		11/48	11/48	Chord	9/16	1	1	1/48		1/32	2/3	3008										
113	99	397/2	425/2	0.08333333333333333		1/4	1/4	Chord	9/16	1	1	1/48		1/32	2/3	3009										
113	99	2383/12	2551/12	0.08333333333333333		13/48	13/48	Chord	9/16	1	1	1/48		1/32	2/3	3010										
113	99	596/3	638/3	0.08333333333333333		7/24	7/24	Chord	9/16	1	1	1/48		1/32	2/3	3011										
113	99	795/4	851/4	0.08333333333333333		5/16	5/16	Chord	9/16	1	1	1/48		1/32	2/3	3012										
113	99	1193/6	1277/6	0.08333333333333333		1/3	1/3	Chord	9/16	1	1	1/48		1/32	2/3	3013										
113	99	2387/12	2555/12	0.08333333333333333		17/48	17/48	Chord	9/16	1	1	1/48		1/32	2/3	3014										
113	99	199	213	0.08333333333333333		3/8	3/8	Chord	9/16	1	1	1/48		1/32	2/3	3015										
113	99	2389/12	2557/12	0.08333333333333333		19/48	19/48	Chord	9/16	1	1	1/48		1/32	2/3	3016										
113	99	1195/6	1279/6	0.08333333333333333		5/12	5/12	Chord	9/16	1	1	1/48		1/32	2/3	3017										
113	99	797/4	853/4	0.08333333333333333		7/16	7/16	Chord	9/16	1	1	1/48		1/32	2/3	3018										
113	99	598/3	640/3	0.08333333333333333		11/24	11/24	Chord	9/16	1	1	1/48		1/32	2/3	3019										
113	99	2393/12	2561/12	0.08333333333333333		23/48	23/48	Chord	9/16	1	1	1/48		1/32	2/3	3020										
113	99	399/2	427/2	0.08333333333333333		1/2	1/2	Chord	9/16	1	1	1/48		1/32	2/3	3021										
113	99	2395/12	2563/12	0.08333333333333333		25/48	25/48	Chord	9/16	1	1	1/48		1/32	2/3	3022										
113	99	599/3	641/3	0.08333333333333333		13/24	13/24	Chord	9/16	1	1	1/48		1/32	2/3	3023										
113	99	395/2	423/2	0.25		0	0	Chord	9/16	2	1	1/16		1/16	1	3024										
113	99	791/4	847/4	0.25		1/16	1/16	Chord	9/16	2	1	1/16		1/16	1	3025										
113	99	198	212	0.25		1/8	1/8	Chord	9/16	2	1	1/16		1/16	1	3026										
113	99	793/4	849/4	0.25		3/16	3/16	Chord	9/16	2	1	1/16		1/16	1	3027										
113	99	397/2	425/2	0.25		1/4	1/4	Chord	9/16	2	1	1/16		1/16	1	3028										
113	99	795/4	851/4	0.25		5/16	5/16	Chord	9/16	2	1	1/16		1/16	1	3029										
113	99	199	213	0.25		3/8	3/8	Chord	9/16	2	1	1/16		1/16	1	3030										
113	99	797/4	853/4	0.25		7/16	7/16	Chord	9/16	2	1	1/16		1/16	1	3031										
113	99	399/2	427/2	0.25		1/2	1/2	Chord	9/16	2	1	1/16		1/16	1	3032										
114	100	401/2	429/2	0.0		3/16	3/16	Spanner	9/16	1	1	0												18		
114	100	401/2	429/2	0.75		3/16	3/16	Chord	9/16	1	1	3/16		1/8	3/2	3033								18		
114	100	805/4	861/4	0.75		3/8	3/8	Chord	9/16	1	1	3/16		1/8	3/2	3034								18		
114	100	799/4	855/4	0.08333333333333333		0	0	Chord	9/16	2	1	1/48		1/32	2/3	3035										
114	100	1199/6	1283/6	0.08333333333333333		1/48	1/48	Chord	9/16	2	1	1/48		1/32	2/3	3036										
114	100	2399/12	2567/12	0.08333333333333333		1/24	1/24	Chord	9/16	2	1	1/48		1/32	2/3	3037										
114	100	200	214	0.08333333333333333		1/16	1/16	Chord	9/16	2	1	1/48		1/32	2/3	3038										
114	100	2401/12	2569/12	0.08333333333333333		1/12	1/12	Chord	9/16	2	1	1/48		1/32	2/3	3039										
114	100	1201/6	1285/6	0.08333333333333333		5/48	5/48	Chord	9/16	2	1	1/48		1/32	2/3	3040										
114	100	801/4	857/4	0.08333333333333333		1/8	1/8	Chord	9/16	2	1	1/48		1/32	2/3	3041										
114	100	601/3	643/3	0.08333333333333333		7/48	7/48	Chord	9/16	2	1	1/48		1/32	2/3	3042										
114	100	2405/12	2573/12	0.08333333333333333		1/6	1/6	Chord	9/16	2	1	1/48		1/32	2/3	3043										
114	100	401/2	429/2	0.08333333333333333		3/16	3/16	Chord	9/16	2	1	1/48		1/32	2/3	3044										
114	100	2407/12	2575/12	0.08333333333333333		5/24	5/24	Chord	9/16	2	1	1/48		1/32	2/3	3045										
114	100	602/3	644/3	0.08333333333333333		11/48	11/48	Chord	9/16	2	1	1/48		1/32	2/3	3046										
114	100	803/4	859/4	0.08333333333333333		1/4	1/4	Chord	9/16	2	1	1/48		1/32	2/3	3047										
114	100	1205/6	1289/6	0.08333333333333333		13/48	13/48	Chord	9/16	2	1	1/48		1/32	2/3	3048										
114	100	2411/12	2579/12	0.08333333333333333		7/24	7/24	Chord	9/16	2	1	1/48		1/32	2/3	3049										
114	100	201	215	0.08333333333333333		5/16	5/16	Chord	9/16	2	1	1/48		1/32	2/3	3050										
114	100	2413/12	2581/12	0.08333333333333333		1/3	1/3	Chord	9/16	2	1	1/48		1/32	2/3	3051										
114	100	1207/6	1291/6	0.08333333333333333		17/48	17/48	Chord	9/16	2	1	1/48		1/32	2/3	3052										
114	100	805/4	861/4	0.08333333333333333		3/8	3/8	Chord	9/16	2	1	1/48		1/32	2/3	3053										
114	100	604/3	646/3	0.08333333333333333		19/48	19/48	Chord	9/16	2	1	1/48		1/32	2/3	3054										
114	100	2417/12	2585/12	0.08333333333333333		5/12	5/12	Chord	9/16	2	1	1/48		1/32	2/3	3055										
114	100	403/2	431/2	0.08333333333333333		7/16	7/16	Chord	9/16	2	1	1/48		1/32	2/3	3056										
114	100	2419/12	2587/12	0.08333333333333333		11/24	11/24	Chord	9/16	2	1	1/48		1/32	2/3	3057										
114	100	605/3	647/3	0.08333333333333333		23/48	23/48	Chord	9/16	2	1	1/48		1/32	2/3	3058										
114	100	807/4	863/4	0.08333333333333333		1/2	1/2	Chord	9/16	2	1	1/48		1/32	2/3	3059										
114	100	1211/6	1295/6	0.08333333333333333		25/48	25/48	Chord	9/16	2	1	1/48		1/32	2/3	3060										
114	100	2423/12	2591/12	0.08333333333333333		13/24	13/24	Chord	9/16	2	1	1/48		1/32	2/3	3061										
115	101	202	216	0.75		0	0	Chord	9/16	1	1	3/16		1/8	3/2	3062								18		
115	101	811/4	867/4	0.75		3/16	3/16	Chord	9/16	1	1	3/16		1/8	3/2	3063								18		
115	101	407/2	435/2	0.75		3/8	3/8	Chord	9/16	1	1	3/16		1/8	3/2	3064								18		
115	101	202	216	0.08333333333333333		0	0	Chord	9/16	2	1	1/48		1/32	2/3	3065										
115	101	2425/12	2593/12	0.08333333333333333		1/48	1/48	Chord	9/16	2	1	1/48		1/32	2/3	3066										
115	101	1213/6	1297/6	0.08333333333333333		1/24	1/24	Chord	9/16	2	1	1/48		1/32	2/3	3067										
115	101	809/4	865/4	0.08333333333333333		1/16	1/16	Chord	9/16	2	1	1/48		1/32	2/3	3068										
115	101	607/3	649/3	0.08333333333333333		1/12	1/12	Chord	9/16	2	1	1/48		1/32	2/3	3069										
115	101	2429/12	2597/12	0.08333333333333333		5/48	5/48	Chord	9/16	2	1	1/48		1/32	2/3	3070										
115	101	405/2	433/2	0.08333333333333333		1/8	1/8	Chord	9/16	2	1	1/48		1/32	2/3	3071										
115	101	2431/12	2599/12	0.08333333333333333		7/48	7/48	Chord	9/16	2	1	1/48		1/32	2/3	3072										
115	101	608/3	650/3	0.08333333333333333		1/6	1/6	Chord	9/16	2	1	1/48		1/32	2/3	3073										
115	101	811/4	867/4	0.08333333333333333		3/16	3/16	Chord	9/16	2	1	1/48		1/32	2/3	3074										
115	101	1217/6	1301/6	0.08333333333333333		5/24	5/24	Chord	9/16	2	1	1/48		1/32	2/3	3075										
115	101	2435/12	2603/12	0.08333333333333333		11/48	11/48	Chord	9/16	2	1	1/48		1/32	2/3	3076										
115	101	203	217	0.08333333333333333		1/4	1/4	Chord	9/16	2	1	1/48		1/32	2/3	3077										
115	101	2437/12	2605/12	0.08333333333333333		13/48	13/48	Chord	9/16	2	1	1/48		1/32	2/3	3078										
115	101	1219/6	1303/6	0.08333333333333333		7/24	7/24	Chord	9/16	2	1	1/48		1/32	2/3	3079										
115	101	813/4	869/4	0.08333333333333333		5/16	5/16	Chord	9/16	2	1	1/48		1/32	2/3	3080										
